,newstitles,newscomname
33,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020121636443"">손흥민, ""영어 못하는 느낌 아니까"".. '신입' 비니시우스 돕는 이유</a>","<span class=""info_news"">스포탈코리아</span>"
34,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020120120871"">소형 전기밥솥, 보온 기능에 차이..밥 딱딱하게 굳는 제품도</a>","<span class=""info_news"">뉴스1</span>"
35,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020071201260"">방 40개에 화장실은 3개뿐.. 주거의 최저선 비웃는 고시원들</a>","<span class=""info_news"">오마이뉴스</span>"
36,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020113018342"">정청래 ""秋, 강단 있어""..김근식 ""노무현 탄핵도 강단 있게 해""</a>","<span class=""info_news"">뉴시스</span>"
37,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020101235054"">[단독]비 ""작은 소식?"" ♥김태희 임신 아니다..궁금증 증폭</a>","<span class=""info_news"">스타뉴스</span>"
38,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020140101136"">""강원랜드 20초만에 털려..열쇠 분실 6년간 몰라""</a>","<span class=""info_news"">서울신문</span>"
39,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020131552591"">'최파타' 유진 ""딸 로희, 내가 S.E.S.였다는 거 알고 있어..엄마처럼 가수 될 거라더라""</a>","<span class=""info_news"">마이데일리</span>"
40,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020105054064"">짙은 안개 속 '쾅, 쾅'..서해안고속도서 차량 15대 추돌(종합)</a>","<span class=""info_news"">연합뉴스</span>"
41,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020122707625"">아프리카서 해적 사살 명령 대만 어선의 중국인 선장 기소돼</a>","<span class=""info_news"">연합뉴스</span>"
42,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020080232963"">'손흥민은 퇴장 당했는데..' 팬들, 라울 히메네스 행동에 어리둥절</a>","<span class=""info_news"">스포츠조선</span>"
43,"<a class=""link_txt"" href=""https://v.daum.net/v/20201019165735384"">전국노래자랑 현장에서 포착한 대한민국 초상</a>","<span class=""info_news"">연합뉴스</span>"
44,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020123048697"">""제1야당에 국민의짐이 뭐냐"" ..이재명 발언에 정회소동</a>","<span class=""info_news"">뉴스1</span>"
45,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020112716169"">""수능 한달여 앞두고"" .. 대치동 학원가 60명 자가격리 '방역 비상'</a>","<span class=""info_news"">아시아경제</span>"
46,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020094200305"">어느 무형문화재 장인의 한탄 ""나 죽으면 할 사람이 없어""</a>","<span class=""info_news"">오마이뉴스</span>"
47,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020114412080"">F-35A 40대 중 24대 도착..한국형 전투기 내년 5월 출고(종합)</a>","<span class=""info_news"">뉴시스</span>"
48,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020111652651"">신규확진 58명, 18명↓..대치동 강사 확진, 서초·강남 모임 집단감염(종합2보)</a>","<span class=""info_news"">뉴스1</span>"
49,"<a class=""link_txt"" href=""https://v.daum.net/v/20201020131504561"">이재명, '침묵'으로 이낙연 따라잡았다.. 본격 '친문 경쟁'</a>","<span class=""info_news"">한국일보</span>"
