index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
40,직업상담사2급 자격증 취득,영등포여성인력개발센터,39,1075200,20,37.5,44.0,07_사회복지 종교,직업상담
41,직업상담사2급 자격증 취득과정(2차 실기),(주)이룸리더십연구원 이룸리더십학원,27,514160,20,33.3,48.0,07_사회복지 종교,직업상담
42,"직업상담사 2급 자격증 취득과정 (1차, 2차)",(주)미래산업교육원 북부직업전문학교,52,1336810,20,39.7,38.0,07_사회복지 종교,직업상담
43,직업상담사 2급 자격증취득과정(필기+실기),(주)울산KH정보교육원,43,1542480,20,32.8,37.0,07_사회복지 종교,직업상담
44,직업상담사 2급 자격증 취득과정(필기/실기),강서여성인력개발센터,50,1285400,20,40.0,,07_사회복지 종교,직업상담
45,직업상담사2급자격시험 대비반,안산여성인력개발센터,46,1156860,20,44.2,40.0,07_사회복지 종교,직업상담
46,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,,07_사회복지 종교,사회복지
47,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,30.0,07_사회복지 종교,사회복지
48,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,07_사회복지 종교,직업상담
49,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,46.0,07_사회복지 종교,직업상담
50,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,44.0,07_사회복지 종교,직업상담
51,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,07_사회복지 종교,사회복지
52,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,37.0,07_사회복지 종교,직업상담
53,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,36.0,07_사회복지 종교,직업상담
54,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,24.0,07_사회복지 종교,사회복지
55,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,07_사회복지 종교,직업상담
56,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,46.0,07_사회복지 종교,직업상담
57,"직업상담사2급(1,2차)취득",서울특별시서부여성발전센터,40,1028320,17,36.4,45.0,07_사회복지 종교,직업상담
58,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,58.0,07_사회복지 종교,베이비시터
59,직업상담사2급취득(필기+실기),원스톱직업학원,45,1156860,28,35.5,44.0,07_사회복지 종교,직업상담
60,직업상담사2급 자격 취득과정,동양캐드/전산회계/컴퓨터학원,60,1542480,12,47.6,,07_사회복지 종교,직업상담
61,"직업상담사 2급 국가기술자격 취득 과정(1,2차 통합)",씨앤씨직업상담학원,41,1079730,21,40.0,34.0,07_사회복지 종교,직업상담
62,"직업상담사 2급 자격 취득(1,2차 통합)",(재)대구직업전문학교,40,1285400,20,40.0,35.0,07_사회복지 종교,직업상담
63,직업상담사2급 필기과정,(주)조근혜 부설 대전직업상담사학원,23,771240,15,48.8,40.0,07_사회복지 종교,직업상담
64,전직지원 컨설턴트 과정,인지어스평생교육원,36,1156860,20,52.1,50.0,07_사회복지 종교,전직지원
65,직업상담사자격증(필기+실기),윤성회계캐드컴퓨터학원,46,1285400,20,33.3,25.0,07_사회복지 종교,직업상담
66,직업상담사2급 자격 취득과정,송파여성인력개발센터,34,925480,23,40.2,39.0,07_사회복지 종교,직업상담
67,직업상담사2급 자격증,새동아직업전문학교,32,796940,20,48.3,38.0,07_사회복지 종교,직업상담
68,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,35.0,07_사회복지 종교,직업상담
69,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,07_사회복지 종교,직업상담
70,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,50.0,07_사회복지 종교,직업상담
71,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,52.0,07_사회복지 종교,사회복지
72,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,24.0,07_사회복지 종교,사회복지
73,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,25.0,07_사회복지 종교,사회복지
74,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,41.0,07_사회복지 종교,직업상담
75,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,35.0,07_사회복지 종교,사회복지
76,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,47.0,07_사회복지 종교,직업상담
77,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,38.0,07_사회복지 종교,직업상담
