index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
1116,멀티미디어콘텐츠제작 UI/UX 스마트웹디자인(웹퍼블리셔) 취업과정 G,그린컴퓨터아카데미 부산,110,5296350,20,39.7,25.0,08_문화 예술 디자인 방송,웹디자인
1117,UI/UX 반응형 웹디자인&웹퍼블리셔 (디자인&코딩) 실무취업과정,그린컴퓨터아트학원,93,4158060,20,66.3,25.0,08_문화 예술 디자인 방송,웹디자인
1118,(2020과정평가) 실내건축산업기사B_노원,노원 그린컴퓨터아카데미,90,4348800,20,70.0,27.0,08_문화 예술 디자인 방송,
1119,"시각영상편집디자인(일러스트,포토샵,프리미어,에펙,모션그래픽)양성과정",그린컴퓨터아카데미 부산,38,1067610,20,54.5,,08_문화 예술 디자인 방송,포토샵
1120,"유튜브크리에이터 영상편집(프리미어,에펙)-시각디자인",주식회사 이젠컴퓨터아카데미,24,1067610,20,60.4,27.0,08_문화 예술 디자인 방송,유튜브
1121,"GTQ자격증(포토샵,일러스트)-시각디자인",주식회사 이젠컴퓨터아카데미,28,786660,20,60.4,28.0,08_문화 예술 디자인 방송,포토샵
1122,"멀티미디어콘텐츠제작&영상편집(프리미어,에프터이펙트,시네마4D)양성과정",그린컴퓨터아트학원,107,5296350,20,33.3,26.0,08_문화 예술 디자인 방송,멀티미디어
1123,"스마트콘텐츠 디자인&영상편집(프리미어,애펙)",더조은컴퓨터아트학원,50,1246200,20,37.8,26.0,08_문화 예술 디자인 방송,영상
1124,"영상제작(영상편집, 모션그래픽, 영상촬영)양성 훈련 1",(재)한국아이티교육재단 한국IT아카데미 구로,98,4407480,20,69.2,24.0,08_문화 예술 디자인 방송,영상
1125,"광고콘텐츠영상제작(프리미어,애펙)+유튜브크리에이터",레브아트컴퓨터학원,60,1869300,20,36.4,33.0,08_문화 예술 디자인 방송,유튜브
1126,게임 2D그래픽 전문가 양성과정,서울게임학원,120,2243160,20,58.9,25.0,08_문화 예술 디자인 방송,게임
1127,영상제작_원격보조훈련A,방송정보국제교육원,88,4407480,30,79.9,26.0,08_문화 예술 디자인 방송,영상
1128,"GTQ그래픽전문가(포토샵,일러스트)자격취득 1급 대비",하우디자인캐드학원,30,674280,10,43.9,29.0,08_문화 예술 디자인 방송,포토샵
1129,(게임콘텐츠제작) 온라인게임 프로그래밍 제작자 양성과정 (11),아텐츠게임아카데미,116,4689050,30,54.4,25.0,08_문화 예술 디자인 방송,게임
1130,시각디자인(일러스트&포토샵),더조은퍼스트컴퓨터바리스타학원,25,561900,20,35.2,34.0,08_문화 예술 디자인 방송,포토샵
1131,(과정평가형 자격)실내건축기사 취득과정 B(실내건축디자인취업과정),그린컴퓨터아트학원,120,5160300,20,76.9,24.0,08_문화 예술 디자인 방송,
1132,"디지털영상편집디자인(프리미어,에펙)",부산더조은직업전문학교,35,1573320,20,43.8,34.0,08_문화 예술 디자인 방송,영상
1133,"웹디자인(웹퍼블리셔)양성 (HTML5,CSS3,Javascript,jQuery)",더조은퍼스트컴퓨터바리스타학원,26,730470,20,35.2,27.0,08_문화 예술 디자인 방송,웹디자인
1134,쇼핑몰구축과 웹디자인실무,인컴트랜드평생교육원,49,1629510,20,76.3,31.0,08_문화 예술 디자인 방송,웹디자인
1135,"디지털영상편집디자인(프리미어,에펙)",더조은퍼스트컴퓨터바리스타학원,34,758560,20,35.2,31.0,08_문화 예술 디자인 방송,영상
1136,그래픽디자인(포토샵+일러스트+인디자인+포트폴리오+그래픽스운용자격증),배움회계캐드컴퓨터학원,50,1123800,10,43.6,30.0,08_문화 예술 디자인 방송,포토샵
1137,스마트기기 UI/UX 웹퍼블리셔 B,이젠컴퓨터아트학원,91,3933300,30,73.8,25.0,08_문화 예술 디자인 방송,
1138,[핵심쏙쏙]GTQ 1급 자격증(포토샵+일러스트),신청산컴퓨터학원,15,373860,10,45.2,25.0,08_문화 예술 디자인 방송,포토샵
1139,쉽게 배우는 일러스트CC,(사)한국디지털컨버전스협회,28,62370,500,41.0,36.0,08_문화 예술 디자인 방송,
1140,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,44.0,08_문화 예술 디자인 방송,빅데이터
1141,[탑강] UX디자인 7가지 비밀,한국이러닝협회,40,149770,500,25.0,28.0,08_문화 예술 디자인 방송,
1142,PhotoShop(포토샵) CC 한번에 끝내기,(사)한국디지털컨버전스협회,28,62370,500,41.0,36.0,08_문화 예술 디자인 방송,포토샵
1143,"광고홍보 영상콘텐츠제작(프리미어,에프터이펙트,포토샵,일러스트)",이젠아카데미,60,1869300,20,60.5,26.0,08_문화 예술 디자인 방송,포토샵
1144,스마트UI/UX웹디자인(웹퍼블리셔)취업과정 E-2,그린컴퓨터아카데미 부산,95,4270440,20,63.4,,08_문화 예술 디자인 방송,웹디자인
1145,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,32.0,08_문화 예술 디자인 방송,포토샵
1146,"포트폴리오를 위한 시각디자인(포토샵,일러스트,인디자인)",(주)한양능력개발원,45,1011420,20,38.2,28.0,08_문화 예술 디자인 방송,포토샵
1147,"[시각디자인]시각편집디자인(일러스트,포토샵,그래픽디자인)실무과정-A",그린컴퓨터아트학원,85,3820920,20,76.9,28.0,08_문화 예술 디자인 방송,포토샵
