,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
532,"[과정평가형] 전자출판기능사 취득 과정(포토샵,일러스트,인디자인,E-BOOK) A",강남 그린컴퓨터아카데미,93,3829160,20,70.4,26,서울,강남구
533,(보석디자인) 귀금속가공 및 보석디자인 양성,(주)엠제이씨보석직업전문학교(MJC보석직업전문학교),139,8125520,20,92.8,27,서울,종로구
534,화훼장식기능사 국가자격증 (실기),오면꽃예술학원,23,637680,13,32.9,30,서울,마포구
535,플로리스트 취업 실무,제이플로리스트학원,12,765210,12,28.3,38,서울,서초구
536,유러피언 플라워 디자인 과정,림스꽃예술학원,12,573910,20,25,30,전북,전주시
537,화훼장식 기능사 자격취득 과정 (필기 실기),바른평생교육원,28,896810,12,,31,경기,의정부시
538,주얼리제작라이노3D프린터,주얼리캐드캠학원,34,1200000,10,31.3,27,서울,종로구
539,화훼장식기능사 취득,미소꽃예술학원,20,956520,16,34,35,서울,서초구
540,플라워 상품제작반(온라인 판매상품),엠플레르꽃예술직업전문학원,15,597820,14,40.9,32,경남,창원시
541,(가구설계제작) 가구 설계 제작 실무자 양성과정,영남직업능력개발원,132,6297090,20,61.5,46,대구,달서구
542,디지털퍼블리싱 & 웹디자인 전문가 양성,세잔IT직업전문학교,123,4653120,22,73.9,23,대전,중구
543,플로리스트 웨딩플라워 스타일링과정,메이필드호텔스쿨,26,621730,20,,39,서울,강서구
544,플로리스트 웨딩플라워 스타일링과정,메이필드호텔스쿨,26,621730,20,,40,서울,강서구
545,"편집디자인(포토샵,일러스트,인디자인)& GTQ(포토샵)자격취득",더조은컴퓨터아트학원,35,867740,20,,30,서울,노원구
546,장신구 창업 전문가 양성과정,윤쥬얼리학원,46,2158240,8,40.6,37,서울,서초구
547,"화훼장식 기능사 (이론,실기) 취득",이현꽃예술학원,18,573910,10,18.2,32,경기,군포시
548,국가기술자격 화훼장식기능사 취득,가이아플라워아트공예학원,19,1160140,15,41.5,27,서울,강남구
549,가죽공예 소품&가방 실무자 양성과정,피렌체 가죽공예학원,13,717390,16,,35,인천,남동구
550,화훼장식기능사 국가기술자격 취득과정(실기),박예정x라채움 꽃 예술학원,20,637680,10,,32,부산,남구
551,플라워샵 실무능력 향상과정,박예정x라채움 꽃 예술학원,22,701440,10,,36,부산,남구
552,플라워샵 실무과정,청플라워디자인학원,16,865210,15,,37,대전,서구
553,화훼장식기능사 취득과정(이론+실기)-구직자,크로체꽃예술학원,20,956520,16,,33,서울,광진구
554,(가구설계제작)가구설계제작,대한상공회의소인천인력개발원,145,7811580,30,86.4,31,인천,남동구
555,국가자격증 화훼장식기능사 취득반,어썸플로꽃아카데미학원,15,1100000,15,,38,경기,평택시
556,"디자인편집과 영상그래픽(유튜브동영상,일러포토,인디자인,프리미어,에펙)",하이미디어아카데미,60,1886400,20,,,서울,서초구
557,가죽공예 지도사 양성과정,이레평생교육원,14,669560,10,,44,경기,안산시
558,화훼장식 기능사 국가자격증,문릿꽃꽂이학원,24,956520,10,,29,서울,강남구
559,편집디자인 및 시각디자인 전문가,주식회사분당이탱크,86,3772800,20,54,31,경기,성남시
560,플라워샵 상품제작 양성과정,론다플라워아카데미학원,12,669560,10,,31,서울,관악구
561,플로리스트종합실무 양성과정,진플라워아카데미학원,16,765210,12,32.3,37,경기,안산시
562,플로리스트 취업 및 창업 실무과정,문릿꽃꽂이학원,24,956520,10,,33,서울,강남구
563,화훼장식기능사 취득_201호,제이플로리스트학원,16,1020280,15,28.3,31,서울,서초구
564,화훼장식기능사 국가자격증 (실기),오면꽃예술학원,12,637680,13,32.9,31,서울,마포구
565,플라워디자인및플로리스트 실무양성과정,안정플로리스트종합예술학원,30,1195650,10,52,34,전북,전주시
566,플라워샵 판매상품 제작(플로리스트 양성),가이아플라워아트공예학원,20,956520,15,41.5,31,서울,강남구
567,화훼장식기능사 자격증 과정_1,예원플라워아카데미학원,13,876810,18,,32,인천,계양구
568,화훼장식 가공화 플라워 취창업과정(프리저브드 플로리스트 양성),가이아플라워아트공예학원,22,1052170,15,41.5,35,서울,강남구
569,점토공예 상품제작 양성과정,현대공예산업직업전문학교,100,2391300,10,58.3,,인천,미추홀구
570,"편집출판디자인(포토샵,일러스트,인디자인)",더조은컴퓨터아트학원,36,1131840,20,,30,경기,고양시
571,플로리스트 전문가 실무 심화과정(구직자),크로체꽃예술학원,24,1147820,16,,30,서울,광진구
572,화훼장식기능사,안단테꽃예술직업학교,17,897100,22,35.2,28,서울,강남구
573,"편집출판디자인(일러,포토,인디자인,e-book)양성과정",그린컴퓨터아트학원,90,4527360,20,68.8,23,대전,서구
574,화훼장식기능사 취득_202호,제이플로리스트학원,16,1020280,15,28.3,34,서울,서초구
575,보석디자인 실업자 양성 B,애림직업전문학교,90,4922190,20,63.2,,전북,익산시
576,유럽플라워디자인 과정,그래머시플라워학원,13,828980,20,37.3,36,경기,수원시
577,주얼리 캐드 기초 양성과정,윤쥬얼리학원,24,859040,9,40.6,26,서울,서초구
578,"출판편집디자인 양성(일러스트,포토샵,인디자인)",더조은컴퓨터아트학원,69,3018240,20,40,29,서울,강동구
579,"전자출판편집디자인(포토샵, 일러스트, 인디자인, E-BOOK) B",하이미디어아카데미인재개발원,90,4527360,22,64.4,24,서울,종로구
580,화훼장식기능사 자격증 과정(실기),림스꽃예술학원,10,478260,20,25,27,전북,전주시
581,"플라워샵(꽃다발, 꽃바구니) 기초과정",꽃싸부플라워디자인전문학원,16,382600,13,,41,충남,천안시
582,플로리스트 트랜드 상품 디자인,오면꽃예술학원,10,557970,13,32.9,34,서울,마포구
583,화훼장식기능사 국가자격증(실기),혜인즈블라썸플로리스트화훼학원,14,781150,12,25.4,30,서울,강남구
584,화훼장식기능사 취득과정,한국평생교육원,20,1099990,15,27.5,35,부산,사상구
585,"[계좌제]편집디자인(포토샵,일러스트,인디자인)실무자양성과정",SBS아카데미컴퓨터아트학원 2캠퍼스,75,1886400,20,,25,서울,서초구
586,"GTQ그래픽기술자격증 취득(포토샵,일러스트,인디자인)",파란직업전문학교,40,1509120,15,,27,전남,순천시
587,플라워샵 창업취업과정,그래머시플라워학원,13,828980,20,37.3,35,경기,수원시
588,인디자인을 활용한 (시각/편집)디자인 포트폴리오 제작,인천구월그린컴퓨터아트학원,48,1509120,10,48.8,,인천,남동구
589,"가죽공예소품,가방제작과정",평생문화직업전문학원,18,936950,11,18.2,41,전북,전주시
590,그래픽디자인입문(포토샵+일러스트)+GTQ자격증 실기,인천구월그린컴퓨터아트학원,23,855160,20,48.8,29,인천,남동구
591,플라워샵취업창업,안단테꽃예술직업학교,20,1056520,22,35.2,31,서울,강남구
592,실내 식물 디자인 향상 과정,박예정x라채움 꽃 예술학원,16,510140,10,,37,부산,남구
593,귀금속가공 보석디자인양성 기능사취득과정B,한국수공예문화협회,110,6781680,20,61.2,27,서울,서초구
594,출판편집디자인 취업과정,부산디자인학원,64,2012160,12,64.7,34,부산,부산진구
595,(과정평가형)편집디자인(전자출판기능사)양성과정A,그린컴퓨터아카데미 신촌,86,2805850,20,71.4,25,서울,마포구
596,가드닝(그린테리어)실무과정(15일),JB플로라꽃예술학원,15,358690,12,,51,전북,전주시
