,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
629,자바(Java) & 스프링(Spring)프레임워크 개발자 양성과정,그린컴퓨터아트학원,160,5929200,20,62.5,26,충북,청주시
630,웹&앱개발(안드로이드)전문가양성과정 B,더조은아이티아카데미학원,113,5929200,30,64.7,28,서울,종로구
631,NCS기반의 정보처리산업기사 자격증 취득과정(A),비트교육센터별관학원,110,6232160,30,73.8,26,서울,서초구
632,[과정평가형국가기술자격]정보처리산업기사(Java프로그래밍 기반)(A),휴먼교육센터,94,5311500,30,79.3,25,충남,천안시
633,정보보호 침해대응 관리자,한국디지털융합직업전문학교,118,5402160,30,66.7,23,서울,중랑구
634,클라우드 기반 빅데이터 서비스 개발자 양성과정,비트교육센터,122,9851740,25,72.1,26,서울,서초구
635,"정보시스템구축(개발,운영) 정보보안 전문가 양성과정",휴먼교육센터,114,5995080,19,79.3,24,충남,천안시
636,정보시스템 보안 운영 및 보안사고분석 과정A,코리아IT아카데미,109,5706230,35,78.6,26,서울,강남구
637,사물인터넷(IOT) 보안플랫폼 구축 실무자 양성,(재)한국직업능력교육원(구.열린직업전문학교),121,5533920,30,75,28,경기,시흥시
638,자바 기반 컨텐츠 & 크로스 플랫폼 개발자,(재)부산인재개발원 부산IT교육센터,128,5869900,25,64.8,29,부산,부산진구
639,자바(Java) & 스프링(Spring) 프레임워크 개발자 양성과정 (N.02),강남 그린컴퓨터아카데미,114,5929200,20,68.6,26,서울,강남구
640,(과정평가형) 자바(JAVA)기반 웹개발자 과정(정보처리산업기사) (B),그린컴퓨터아카데미 수원,109,5665600,20,,25,경기,수원시
641,5G 환경 기반 VR/AR 실감형 콘텐츠 개발 과정,부산대학교산학협력단,120,15165120,20,,27,부산,금정구
642,R과 Python을 활용한 빅데이터 분석 및 시각화 기획 과정(B반),멀티캠퍼스,57,4382166,24,,24,서울,강남구
643,웹서비스를 활용한 딥러닝 개발자 과정(NCS),비트교육센터별관학원,130,11314160,25,73.8,26,서울,서초구
644,"빅데이터 UI 전문가 양성(파이썬,R) A",더조은컴퓨터아카데미,105,5533920,20,72.4,25,서울,종로구
645,"디지털 융합 서비스구축 개발자 양성과정(자바,JAVA)-A",(주)울산KH정보교육원,105,5533920,30,63.2,26,울산,남구
646,디지털컨버전스 기반 Framework 전문 개발자 양성과정,비트캠프 강남학원,112,5902840,30,75,,서울,서초구
647,R과 Python을 활용한 빅데이터 분석 및 시각화 기획 과정(A반),멀티캠퍼스,57,4382166,24,,24,서울,강남구
648,디지털컨버전스 기반 자바프로그래밍 개발자 양성과정 A,(주)솔데스크,112,5902840,30,72.6,27,서울,종로구
649,JAVA기반 빅데이터 IT콘텐츠 정보시스템 취업과정_장기I,중앙정보처리학원,101,5248875,20,,24,서울,마포구
650,"빅데이터 분석 & UI 개발자(자바,파이썬 프로그램)",(주)이젠컴퓨터아카데미안산,108,5599800,20,,28,경기,안산시
651,RPA를 활용한 빅데이터전문가과정(JAVA・RPA),한국소프트웨어인재개발원,130,10092160,25,84.4,25,서울,금천구
652,"ICT정보시스템구축(개발,운영)",(주)세종교육,95,4954170,20,,26,경기,성남시
653,전자정부 표준 프레임워크 기반 풀-스택 개발자 양성과정,(재)대덕인재개발원,155,10619360,25,89.7,25,대전,중구
654,Ansible 자동화로 구현한 클라우드 환경 DevOps,(주)솔데스크,120,8224320,30,,26,서울,종로구
655,자바&파이썬 기반 빅데이터 UI 전문가 양성,연세직업전문학교,103,5402160,30,81.6,25,경기,수원시
656,ICT 산업융합을 위한 응용SW엔지니어링-A,한국ICT인재개발원,112,5902840,25,,29,서울,마포구
657,JAVA 프레임워크 실무 개발자 양성과정_단기I,중앙정보처리학원,46,3925000,20,,23,서울,마포구
658,"디지털영상편집(프리미어, 애프터이펙트)",하이미디어아카데미인재개발원,30,744240,22,,29,서울,종로구
659,"반응형 웹퍼블리셔(html+css3, javaScript+jQuery)양성 과정",코리아아이티(IT)아카데미학원,88,2305800,20,,26,대구,중구
660,미래의 예측! 빅데이터와 사물인터넷(IoT),사단법인 한국에듀테크산업협회,28,68310,500,27.8,34,서울,강남구
661,자바스크립트(JavaScript) 프로그래밍,(사)한국디지털컨버전스협회,28,121770,500,30,26,서울,영등포구
662,[ NCS ] SPA 기반의 스마트 콘텐츠 서비스 개발자 양성과정,인천일보아카데미,119,6258600,30,68.4,24,인천,미추홀구
663,웹기반응용SW개발자양성,(주)미래능력개발교육원,126,5810610,30,90.1,23,서울,강동구
664,SW(코딩) 교강사 양성과정,(사)한국디지털컨버전스협회,56,222750,500,30,27,서울,영등포구
665,사례로 풀어보는 의사결정 - 빅데이터 활용,한국이러닝협회,30,92070,500,,44,서울,구로구
666,빅데이터 기반의 스마트물류 전문가 양성과정 A,메가HRD교육센터,69,5528900,25,,24,서울,서초구
667,NCS 기반 IT시스템 구축 및 정보보호 엔지니어 양성 과정,KH정보교육원 종로지원,99,5206600,30,,24,서울,중구
668,[렛유인] 취업의 핵심 - 4차 산업 혁명,한국이러닝협회,56,376690,500,,,서울,구로구
669,스마트한 세상 ! 유비쿼터스 IT,사단법인 한국에듀테크산업협회,28,62370,500,,18,서울,강남구
670,경영빅데이터분석사 2급 자격 취득하기,사단법인 한국에듀테크산업협회,28,71280,500,,,서울,강남구
671,스크래치로 배우는 COS 2급(코딩활용능력평가),사단법인 한국에듀테크산업협회,28,62370,500,27.8,59,서울,강남구
672,COS PRO 2급 파이썬(전문코딩능력평가),사단법인 한국에듀테크산업협회,28,86130,500,27.8,18,서울,강남구
673,스마트한 세상! IoT & 유비쿼터스 IT,사단법인 한국에듀테크산업협회,28,92070,500,,,서울,강남구
674,"앱(App)의 새로운 바람, 타이젠(Tizen) 프로그래밍",사단법인 한국에듀테크산업협회,28,62370,500,27.8,,서울,강남구
675,자바기반 응용SW(안드로이드) 개발자 양성과정,주식회사인천직업능력개발원,113,5929200,20,,28,인천,미추홀구
676,"미래를 여는 힘, IoT & Windows10",사단법인 한국에듀테크산업협회,28,62370,500,,60,서울,강남구
677,빅데이터 활용 경영데이터분석 전문인력 양성과정5,한국경영인증원,65,5028800,25,,23,서울,영등포구
678,빅데이터 활용 경영데이터분석 전문인력 양성과정3,한국경영인증원,65,5028800,25,,23,서울,영등포구
679,빅데이터 활용 경영데이터분석 전문인력 양성과정6,한국경영인증원,65,5028800,25,,23,서울,영등포구
680,빅데이터 기반의 스마트물류 전문가 양성과정 B,메가HRD교육센터,69,5528900,25,,23,서울,종로구
681,빅데이터 활용 경영데이터분석 전문인력 양성과정4,한국경영인증원,65,5028800,25,,23,서울,동대문구
682,빅데이터 분석을 활용한 데이터 마케팅 전문가 양성과정(C),하이미디어아카데미인재개발원,40,2833920,25,,23,서울,성북구
683,인공지능을 활용한 이미지 기반 자율주행 시스템 개발자 양성 과정,엔코아 아카데미,120,9746880,25,55.2,27,서울,서초구
684,자바(JAVA) 안드로이드 웹 & 앱 개발자(B),이젠아이티(IT)아카데미학원,115,5929200,30,82.5,25,서울,서초구
685,자바(JAVA)기반 안드로이드 앱개발자,씨이티아이컴퓨터학원(C.E.T.I컴퓨터학원),113,5929200,21,,34,충남,천안시
686,JAVA 프레임워크 실무 개발자 양성과정_단기II,중앙정보처리학원,44,3925000,20,,22,서울,마포구
687,UI/UX 반응형 웹디자인&웹퍼블리셔 B,하이미디어아카데미인재개발원,119,6258600,30,71.1,25,서울,종로구
688,융합서비스 애플리케이션 개발자 양성과정A,코리아IT아카데미,112,5902840,35,73.2,25,서울,강남구
689,블록체인 개발자 양성과정,부산대학교산학협력단,132,6902700,25,,27,부산,금정구
690,클라우드컴퓨팅과 보안솔루션을 활용한 DC 엔지니어 양성,한국정보교육원(구.경원직업전문학교),114,7795970,20,96,25,서울,관악구
691,정보보호시스템 구축 엔지니어 및 관리 운영자 양성과정(1),KH정보교육원 강남지원,140,5533920,30,83.6,23,서울,강남구
692,인공지능을 활용한 휴먼 포즈 제네레이션 시스템 개발자 양성 과정,엔코아 아카데미,120,9694080,25,55.2,26,서울,서초구
693,"자바(JAVA),파이썬(Python) 활용 빅데이터 UI 전문가 양성과정",강남 그린컴퓨터아카데미,104,5270400,20,68.6,27,서울,강남구
