,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
741,제과제빵기능사 취득과정(이론+실기),엠제빵커피학원,43,1169080,18,25.9,30,울산,남구
742,"제과제빵기능사취득과정(필기,실기)",쇼콜라띠에제과제빵직업전문학교,54,1468150,18,54.3,30,경기,수원시
743,"2020년 과정평가_제과기능사(이론,실기) 자격증취득",한국조리사관직업전문학교,50,2854400,20,42.1,23,서울,금천구
744,"제과제빵자격증과정(이론,실기)",은성제과제빵커피학원,55,1495340,12,42.9,36,경남,김해시
745,제과기능사 제빵기능사 자격증 취득과정(이론+실기),뉴브레인직업전문학교,28,1141890,15,,27,서울,구로구
746,제과기능사 자격증 취득 과정,쿠킹숲제과제빵학원,24,489380,20,,32,전남,여수시
747,제과제빵기능사 및 케이크디자이너 자격증취득,현대제과제빵요리전문학원,48,1604090,18,38.8,34,울산,남구
748,"제과 베이커리 디저트실무(케익,구움과자)",한솔제과제빵커피바리스타학원,60,1263460,20,40.4,35,서울,종로구
749,제과 제빵 기능사(이론 + 실기)취득과정,국제조리직업전문학원,49,1332210,12,38.1,39,제주,제주시
750,제빵및제과기능사(이론+실기),김희진 요리제과제빵바리스타 학원,50,1359400,15,47.1,46,강원,춘천시
751,제과제빵 기능사 자격증 취득과정,아트요리제과제빵바리스타학원,60,1631280,20,,30,울산,중구
752,천연효모발효빵,신사제과제빵학원,15,509770,10,23.9,39,서울,강남구
753,제과기능사 자격증반 실업자과정,하이밀제과제빵학원,20,407820,10,,37,울산,북구
754,제과제빵기능사(실기)&실용케익,신사제과제빵학원,52,1631280,16,23.9,33,서울,강남구
755,"제과기능사 취득(실기) 및 카페디저트 실무(마카롱, 타르트, 보틀 케이크)",한국조리사관직업전문학교,17,897200,20,42.1,31,서울,금천구
756,"구움과자 쁘띠디저트(마카롱,에클레어,슈,타르트,쉬폰,파운드)",티니케익아트학원,25,829700,15,37.5,36,서울,성동구
757,카페제과디저트취업과정,(주)씨아이케이한국외식조리직업전문학교(CIK),60,1223460,20,50.9,43,경기,부천시
758,"파티케이크(레터링,플라워,숫자케이크&마카롱)마스터",티니케익아트학원,25,859700,15,37.5,32,서울,성동구
759,제과디저트 및 커피음료 실무과정,둔산음식나라조리제과커피학원,39,990000,11,47.7,31,대전,서구
760,제과제빵기능사취득과정(이론+실기),중앙요리제과학원,63,1277830,12,,36,경기,광주시
761,제과기능사&바리스타 2급 자격취득과정,목포국제직업전문학교,60,1223460,12,45.7,31,전남,목포시
762,제과제빵기능사 취득과 케이크 데코레이션,의정부 직업전문학교,55,1495340,18,42.6,37,경기,의정부시
763,제과제빵기능사자격증취득과정,대구제과제빵커피학원,60,1631280,18,47.1,,대구,중구
764,제빵기능사 취득과정(이론+실기),경기제과제빵학원,30,815640,18,,48,경기,남양주시
765,제과제빵기능자 자격증 취득과정,신현대직업교육학원,60,1629600,10,,26,인천,부평구
766,제과기능사 자격 취득과정(이론+실기),마산제과제빵전문학원,30,611730,20,30.5,38,경남,창원시
767,제과제빵자격증취득 및 케이크데코레이션기초과정,연산국제제빵커피학원,55,1495340,16,32.6,37,부산,연제구
