,과정명,학원명,기간,훈련비,정원,취업률,연령대
1358,"(멀티미디어콘텐츠제작) 영상 (프리미어,에프터이펙트) 크리에이터 과정 1",강남 그린컴퓨터아카데미,108,5296350,20,41.4,26
1359,"그래픽디자인실무&그래픽자격증취득(포토샵,일러스트)",셈틀회계캐드그래픽컴퓨터학원,38,842850,15,80,28
1360,스마트기기 UI/UX 웹디자인(웹퍼블리셔)-A,이젠컴퓨터학원,98,3933300,20,77.8,23
1361,시각디자인(일러스트&포토샵),더조은퍼스트컴퓨터바리스타학원,25,561900,20,35.2,30
1362,3D프린팅융합제품디자인양성과정,고려IT직업전문학교,91,4073770,25,80.4,27
1363,유니티(Unity) 프로그래밍 시작하기,(사)한국디지털컨버전스협회,28,62370,500,,27
1364,PhotoShop(포토샵) CC 한번에 끝내기,(사)한국디지털컨버전스협회,28,62370,500,41,30
1365,쉽게 배우는 애프터이펙트,(사)한국디지털컨버전스협회,28,62370,500,,26
1366,쉽게 배우는 마야3D,(사)한국디지털컨버전스협회,28,62370,500,,31
1367,"포토샵&일러스트(기초부터실무)및 GTQ 취득과정(포토샵1급,일러스트1급)",신영진컴퓨터학원,54,899040,10,49,31
1368,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,66
1369,영상편집,(사)한국디지털컨버전스협회,28,62370,500,,31
1370,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,40
1371,쉽게 배우는 프리미어CC,(사)한국디지털컨버전스협회,28,62370,500,,31
1372,종합편집,(사)한국디지털컨버전스협회,28,62370,500,,
1373,[탑강] UX디자인 7가지 비밀,한국이러닝협회,40,149770,500,25,
1374,"한번에 끝내는 영상기획, 영상제작, 영상편집 과정(프리미어)",한국이러닝협회,28,62370,500,,39
1375,쉽게 배우는 시네마4D,(사)한국디지털컨버전스협회,28,62370,500,,31
1376,쉽게 배우는 일러스트CC,(사)한국디지털컨버전스협회,28,62370,500,41,31
1377,스마트기기 웹디자인/UIUX실무자양성과정,굿잡아카데미컴퓨터아트학원,86,3371400,21,,24
1378,"영상편집&모션그래픽제작(프리미어,에펙)",더조은아이티아카데미학원,27,1067610,20,32.9,34
1379,기업맞춤형 시각ㆍ광고 크리에이터 양성과정,NEW국제직업전문학교,114,4966720,25,70.3,25
1380,시각디자인(옥외광고) 양성과정,그린컴퓨터아카데미,85,3820920,20,66.7,25
1381,(게임콘텐츠제작) 게임 프로그래밍 및 컨텐츠 전문가 양성과정 (1),아텐츠게임아카데미,129,4822790,30,54.4,24
1382,웹퍼블리셔(UI/UX 웹디자인)입문과정,노원 그린컴퓨터아카데미,60,1629510,20,53.8,27
1383,YouTube 영상콘텐츠 제작,드림직업전문학교,40,686880,20,,32
1384,언리얼엔진 게임프로그래밍 개발자 양성과정 B,재단법인 국제인재능력개발원,109,5420970,28,49.2,28
1385,그래픽디자인(포토샵.일러스트.인디자인),윤성회계캐드컴퓨터학원,43,842850,15,40.5,27
1386,웹디자인(UI/UX) 실무 양성과정(A),부산부경직업전문학교,65,3067480,20,61.5,29
1387,영상편집 양성과정[포토/일러/프리미어],신세계회계컴퓨터전문학원,35,872340,10,,28
1388,포토샵&영상편집(프리미어/에펙),윤성회계캐드컴퓨터학원,30,674280,15,40.5,
1389,"3D 입체 콘텐츠(영상편집, 3D 영상제작) 실무자 양성 훈련A",(재)한국아이티교육재단 한국IT아카데미 구로,88,3949560,30,69.2,27
1390,( 웹디자인 ) 포토샵 일러스트 GTQ1급 자격증,두드림컴퓨터아카데미,27,674280,20,,36
1391,"디지털디자인(웹디자이너, 웹퍼블리셔) 양성과정",안산 그린컴퓨터아카데미,106,4270440,20,76.6,24
1392,[플립드러닝] 멀티미디어콘텐츠제작(영상편집&웹제작)구직자과정,그린컴퓨터아트학원 안양,93,5171730,20,,27
1393,"웹디자인실무양성과정(포토,일러스트,HTML5)",효성아트컴퓨터학원,40,899040,12,,27
1394,"영상편집&모션그래픽제작(프리미어,에펙)",더조은컴퓨터아카데미,27,758560,20,,31
1395,"실내건축산업기사(캐드,스케치업,맥스)A [2020년 의정부]",그린컴퓨터아카데미,104,4348800,20,78.8,27
1396,제품모형제작을 위한 3D프린팅운용,아성직업전문학교,86,3371400,22,81,30
1397,"디지털편집디자인(포토샵,일러스트,인디자인,E-BOOK)",더조은퍼스트컴퓨터바리스타학원,50,1123800,20,35.2,30
1398,"영상 제작 (영상기획, 촬영, 영상편집) 양성 훈련 A4",(재)한국아이티교육재단 한국IT아카데미 구로,98,4407480,30,69.2,25
1399,"컴퓨터그래픽디자인 양성과정(시각디자인,일러스트,포토샵)",(주)이젠컴퓨터아카데미안산,36,1011420,20,,32
1400,시각디자인GTQ자격취득(일러스트&포토샵),더조은컴퓨터아카데미,27,758560,20,,29
1401,"GTQ그래픽전문가(포토샵, 일러스트)자격취득 과정",이젠아카데미컴퓨터학원,33,730470,20,,28
