,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
61,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,40,936320,18,,38,경기,수원시
62,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30,서울,영등포구
63,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,25,서울,동대문구
64,법률사무원 취업과정,구미직업전문교육센터,18,936320,27,,44,경북,구미시
65,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,23,,28,서울,강남구
66,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29,서울,서초구
67,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29,서울,영등포구
68,[과정평가형]소방설비산업기사(전기분야),세영직업전문학교,92,4284700,20,40,39,서울,영등포구
69,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30,서울,영등포구
70,법률사무원 취업과정,에이치알디(HRD)수원평생교육원,22,936320,18,,39,경기,수원시
71,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29,서울,서초구
72,[과정평가형]소방설비산업기사(기계분야),세영직업전문학교,86,4324750,20,40,36,서울,영등포구
73,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,29,서울,동대문구
74,AutoCAD2D+Inventor3D(캐드특허도면작성+ATC캐드마스터1급),하이컴퓨터그래픽전산회계학원,61,1996500,22,71.4,32,경기,안산시
75,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,28,서울,영등포구
76,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,30,서울,영등포구
77,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,28,서울,서초구
78,소방설비기사/산업기사 필기반(전기분야-이론),대영소방전문학원,18,558810,60,58.3,39,부산,북구
79,개인회생 및 파산 법률사무취업과정,에스앤에스로펌인사노무학원,23,300960,23,,34,서울,강남구
80,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,34,,30,서울,강남구
81,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29,서울,서초구
82,법률사무원 취업과정,구미직업전문교육센터,18,936320,27,,32,경북,구미시
83,(과정평가형)소방설비산업기사(기계)_2020,모아소방전기학원,75,4004400,20,64.3,35,서울,영등포구
84,소방설비산업기사(전기분야) 취득과정A,대산직업전문학교,101,4671800,30,,39,부산,연제구
85,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29,서울,영등포구
86,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,28,서울,영등포구
87,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,31,서울,동대문구
88,소방설비기사/산업기사 필기 자격취득반(전기분야-문제풀이),대영소방전문학원,15,465670,60,58.3,45,부산,북구
89,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,31,서울,서초구
90,위험물기능사 자격대비과정(필기+실기),여수노진식취업멘토학원,28,682990,35,,25,전남,여수시
91,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,28,서울,서초구
92,행정법률사무원 취업과정,탑직업교육센터,24,802560,12,,41,대구,서구
93,AutoCAD2D+Inventor3D(캐드특허도면작성+ATC캐드마스터1급),하이컴퓨터그래픽전산회계학원,61,1996500,22,71.4,28,경기,안산시
94,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29,서울,영등포구
95,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,27,서울,영등포구
96,회생파산 및 송무법률사무취업과정,구미직업전문교육센터,35,702240,27,,40,경북,구미시
97,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,26,서울,구로구
98,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,37,서울,구로구
99,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,50,서울,구로구
100,소방설비(산업)기사전기필기실기,중앙소방안전학원,33,614690,60,57.1,48,광주,서구
101,소방설비(산업)기사기계필기실기,중앙소방안전학원,33,614690,60,57.1,46,광주,서구
102,"강제집행및회생파산,형사소송절차실무 법률사무원양성과정",국민법률세무교육원,21,936320,30,61.8,35,서울,동대문구
103,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30,서울,서초구
104,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,,서울,구로구
105,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,45,서울,구로구
106,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,40,서울,구로구
107,법률사무원 양성,삼일직업전문학교,24,936320,20,31.3,39,경남,창원시
108,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,27,서울,영등포구
109,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,34,,32,서울,강남구
110,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,29,서울,영등포구
111,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30,서울,서초구
112,소방설비기사/산업기사 자격취득반(전기실기+전기전공),대영소방전문학원,18,558810,60,58.3,43,부산,북구
113,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,53,서울,구로구
114,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,42,서울,구로구
115,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,51,서울,구로구
116,행정법률사무원 취업과정,탑직업교육센터,15,802560,12,,44,대구,서구
117,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,49,서울,영등포구
118,위험물기능사 자격증취득(실기),여수노진식취업멘토학원,13,310450,35,,23,전남,여수시
119,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,30,1100000,23,64.3,49,서울,영등포구
120,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,19,1100000,23,64.3,49,서울,영등포구
121,(과정평가형)소방설비산업기사(전기),재단법인 이찬 경북직업전문학교,97,4338100,24,,38,경북,포항시
122,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,43,서울,구로구
123,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,44,서울,구로구
124,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30,서울,서초구
125,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,43,서울,구로구
126,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,32,서울,동대문구
127,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,29,서울,영등포구
128,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,28,서울,영등포구
129,법률사무원 취업과정,아바평생교육원,28,936320,11,,,서울,강남구
130,법률사무원 취업과정,아바평생교육원,28,936320,11,,,서울,강남구
131,행정법률사무원 취업과정,탑직업교육센터,24,802560,12,,33,대구,서구
132,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,31,서울,서초구
133,법률사무원 취업과정,아바평생교육원,28,936320,11,,,서울,강남구
134,개인회생 및 파산 법률사무취업과정,에스앤에스로펌인사노무학원,11,300960,23,,31,서울,강남구
135,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,30,서울,구로구
136,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,44,서울,구로구
137,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,46,서울,구로구
138,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,,서울,영등포구
139,회생파산 및 송무법률사무취업과정,대구항공여행평생교육원,14,702240,20,,,대구,달서구
140,소방설비기사/산업기사 자격취득반(기계분야),대영소방전문학원,25,745080,31,58.3,43,부산,북구
141,법률사무원 취업과정,아바평생교육원,28,936320,11,,34,서울,강남구
142,법률사무원 취업과정,아바평생교육원,18,936320,11,,42,서울,강남구
143,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,,서울,영등포구
144,회생파산 및 송무법률사무취업과정,구미직업전문교육센터,35,702240,27,,,경북,구미시
145,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,,서울,영등포구
146,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,,서울,구로구
147,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,,서울,구로구
148,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,,서울,구로구
149,"강제집행및회생파산,형사소송절차실무 법률사무원양성과정",국민법률세무교육원,21,936320,30,61.8,29,서울,동대문구
150,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,34,서울,서초구
151,소방설비(산업)기사전기필기,중앙소방안전학원,25,465670,60,57.1,59,광주,서구
152,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,,서울,영등포구
153,소방설비(산업)기사기계필기,중앙소방안전학원,24,447040,60,57.1,,광주,서구
154,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,36,서울,서초구
155,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,,서울,구로구
156,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,,서울,구로구
157,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,,서울,구로구
158,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,,서울,영등포구
159,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,34,,32,서울,강남구
160,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,,서울,영등포구
161,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,,서울,구로구
162,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,,서울,구로구
163,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,,서울,구로구
164,법률사무원 취업과정,구미직업전문교육센터,18,936320,27,,,경북,구미시
165,소방설비기사/산업기사 필기반(전기분야-이론),대영소방전문학원,15,558810,60,58.3,,부산,북구
166,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,,서울,서초구
167,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,29,서울,동대문구
168,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,,,서울,서초구
169,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,,서울,구로구
170,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,,서울,구로구
171,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,,서울,구로구
172,법률사무관리직원취업과정,대한법률학원,20,935900,50,,,서울,영등포구
173,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,,,서울,영등포구
174,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,,서울,구로구
175,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,,서울,구로구
176,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,,서울,구로구
177,소방설비기사/산업기사 필기반(전기분야-문제풀이),대영소방전문학원,15,558810,60,,,부산,북구
178,법률사무관리직원취업과정,대한법률학원,20,935900,50,,,서울,영등포구
179,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,,서울,구로구
180,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,,서울,구로구
181,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,,서울,구로구
182,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,,,서울,영등포구
