,과정명,학원명,기간,훈련비,정원,취업률,연령대
1047,한식조리기능사 자격 취득 (이론+실기),광명요리학원,35,789880,19,58.1,41
1048,커피 바리스타 실무자 양성과정(바리스타 2급),코코커피바리스타학원,33,1000480,16,51.9,31
1049,커피바리스타(자격증)디저트실무자과정,한국외식제과직업전문학교,52,1600760,15,35.5,39
1050,바리스타 2급 취득과정,보령여성인력개발센터,25,800000,10,40,41
1051,한식+양식조리기능사 자격증취득(이론+실기),북구음식나라조리학원,49,1488620,15,43.1,44
1052,한식조리기능사 자격취득 과정(이론+실기),광양요리제과직업전문학교,36,820260,16,50,36
1053,일반고특화 호텔조리과(양식.한식조리기능사),(주)한국외식조리직업전문학교 연수점,173,8562900,26,58.8,17
1054,카페메뉴(커피+티마스터)과정,성북커피학원,24,738810,18,44.2,35
1055,한식조리기능사(이론+실기) 취득,시지음식나라조리학원,27,820260,16,,46
1056,"커피 바리스타 2급 및 라떼아트 자격증 취득과정(필기,실기)",다옴직업전문학교,38,1154400,24,82.1,31
1057,일반고특화 호텔조리과(양식.한식조리기능사),(주)씨아이케이한국외식조리직업전문학교(CIK),173,8562900,30,60.6,17
1058,일반고특화 호텔조리과(양식.한식조리기능사),(주)한국외식조리직업전문학교,173,8562900,26,66.8,17
1059,"(일반고특화) 외식조리사 양성 (한식, 양식, 중식조리기능사 자격취득)",남양주 직업전문학교,176,8562900,10,53.4,17
1060,한식조리기능사 자격 취득과정(이론+실기),이성실요리커피제빵학원,28,835450,12,52.4,40
1061,한식조리기능사 자격취득(이론 + 실기)&밑반찬양성,기장정관음식나라조리학원,28,835450,12,52.9,48
1062,한식+양식조리기능사 취득과정(이론+실기),조해성요리학원,49,1488620,16,51,38
1063,한식조리기능사취득(이론+실기),월드호텔외식직업전문학교(병점),36,820260,12,67.2,42
1064,한식조리기능사 자격 취득과정(이론+실기),군산명문요리직업전문학교,35,797470,16,59.3,43
1065,조리기능사(한식이론.실기)자격증대비반,한라조리직업전문학원,30,853080,15,45.6,48
1066,커피바리스타2급 자격취득과 실무자 양성,FnC아카데미교육원,38,1154400,10,40,44
1067,"단체급식조리사양성과정(양식,중식조리기능사취득)",와이제이(YJ)요리나라조리학원,42,1260770,11,,38
1068,한식조리기능사(실기),신선생요리전문학원,25,569620,12,50,37
