,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
761,[원패스] 전기공사 기사/산업기사 실기,사단법인 한국에듀테크산업협회,28,111130,500,60,,서울,강남구
762,[원패스] 전기기사 필기,사단법인 한국에듀테크산업협회,56,476550,500,60,39,서울,강남구
763,[원패스] 전기공사기사 필기,사단법인 한국에듀테크산업협회,56,470610,500,60,,서울,강남구
764,[렛유인] 반도체 핵심 8대 공정 - 종합,한국이러닝협회,56,328650,500,52.9,31,서울,구로구
765,"[렛유인] 반도체 직무별 취업완성 - 공정, 설비 종합과정",한국이러닝협회,56,511710,500,52.9,23,서울,구로구
766,[원패스] 전기 기사/산업기사 실기,사단법인 한국에듀테크산업협회,28,90340,500,60,42,서울,강남구
767,[탑강] 회로이론,한국이러닝협회,28,185770,500,48.4,,서울,구로구
768,"[렛유인] 반도체 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,56,602640,500,52.9,,서울,구로구
769,한번에 준비하여 합격하자! 전기기사(필기),한국이러닝협회,56,297000,500,48.4,42,서울,구로구
770,[탑강] 전자기기기능사 필기,한국이러닝협회,28,159620,500,,,서울,구로구
771,[합격완벽대비반] 전기기사 실기 과정,한국이러닝협회,28,214470,500,48.4,42,서울,구로구
772,[합격완벽대비반] 전기기능사 필기 과정,한국이러닝협회,28,227070,500,48,50,서울,구로구
773,"[렛유인] 디스플레이 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,28,228580,500,42.4,,서울,구로구
774,"[렛유인] 자동화 산업 공정과정 (인버터,PLC)",한국이러닝협회,28,66370,500,,27,서울,구로구
775,[탑강] 전자산업기사 필기,한국이러닝협회,56,451100,500,,,서울,구로구
776,[올배움] 전자기사 필기 합격대비 과정,한국이러닝협회,28,233960,500,,,서울,구로구
777,"[렛유인] 반도체 직무별 취업완성 - 소자, 설계 종합과정",한국이러닝협회,56,411870,500,52.9,22,서울,구로구
778,[렛유인] 반도체 전공별 취업완성 - 기계공학과,한국이러닝협회,56,459220,500,52.9,30,서울,구로구
779,[탑강] 전기자기학,한국이러닝협회,28,185770,500,48.4,27,서울,구로구
780,전기기능사 실기,한국전기기술원,27,523760,17,47.3,38,서울,영등포구
781,"전기기능사(이론,실기)",수도전기직업전문학원,52,1361770,18,53.5,39,서울,영등포구
782,전기(산업)기사 취득 과정,수도직업전문학교,71,2032320,20,59.1,35,서울,영등포구
783,전기산업기사필기특강,부산한국전기학원,25,465370,30,,36,부산,부산진구
784,전기기능사 취득,베스트전기학원,40,1309400,20,42.5,40,부산,부산진구
785,전기기능사 취득(실기),한국전기기술학원,32,628510,35,53.8,40,광주,북구
786,전기기능사 취득(필기),대전전기학원,30,589230,20,60,32,대전,중구
787,전기(산업)기사 필기특강,수도전기직업전문학원,32,812920,25,,33,서울,영등포구
788,승강기기능사 자격취득과정 (실기과정),유캠퍼스김기남전기정보통신학원,24,471380,20,55.7,31,서울,영등포구
789,배전공사기술인양성,한국전기교육원,95,4975720,30,63.4,26,경북,경산시
790,전기내선공사 및 전기기능사 취득 과정,수도직업전문학교,80,3666320,20,50,34,서울,영등포구
791,전기자동제어시스템(PLC) 운영 실무자 양성,(재)한국직업능력교육원(구.열린직업전문학교),116,5080800,24,,27,경기,시흥시
