,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
709,간호조무사 자격증 취득과정,송탄간호학원,222,3230000,30,62.5,32,경기,평택시
710,요양보호사국가자격증취득,수원누네요양보호사교육원,30,510000,27,,55,경기,수원시
711,요양보호사 국가자격소지자반 (사회복지사),안성의료복지사회적협동조합 부설 안성요양보호사교육원,12,250000,30,60.9,47,경기,안성시
712,요양보호사 자격취득 과정,성모요양보호사교육원,30,600000,37,57.3,59,인천,부평구
713,간호조무사 자격 취득과정,동래간호학원,219,2900160,32,74.2,37,부산,동래구
714,요양보호사 자격 취득과정,미소로섬김 요양보호사교육원,30,600000,37,50,54,인천,계양구
715,간호조무사 자격 취득과정 B,남동간호학원,219,3000480,31,80.4,37,인천,남동구
716,간호조무사 자격 취득과정 A,남동간호학원,217,3000480,38,80.4,31,인천,남동구
717,간호조무사자격취득과정,이천간호학원,222,3960000,36,84.6,37,경기,이천시
718,간호조무사 자격 취득과정,강원보건간호학원,204,3479280,40,85.5,34,강원,춘천시
719,간호조무사 자격증 취득과정,한빛간호학원,191,2400080,32,76.5,31,대전,중구
720,간호조무사 자격 취득과정,분당간호학원,214,2760320,30,81.9,40,경기,성남시
721,간호조무사 자격증취득 과정 A,용인간호학원,218,2660000,30,86.8,35,경기,용인시
722,간호조무사 자격 취득과정,메디칼씨에스간호학원,204,2998960,30,77.8,34,경남,창원시
723,요양보호사지격증취득대비반,마두요양보호사교육원,30,640800,40,54.8,56,경기,고양시
724,간호조무사자격증 취득과정,창원삼성간호학원,222,3199600,30,68.6,35,경남,창원시
725,간호조무사 자격 취득과정,향남노아간호학원,204,2998960,33,,35,경기,화성시
726,간호조무사 자격 취득과정(주간),정연화양정간호조무사전문학원,229,2900160,30,81.8,37,부산,부산진구
727,간호조무사자격취득과정,거제간호학원,232,2865200,37,75,29,경남,거제시
728,간호조무사 자격증 취득,예담간호학원,210,3268000,42,76.3,32,경기,수원시
729,요양보호사자격증 취득과정,주은요양보호사교육원,30,641520,35,55.7,56,경기,고양시
730,간호조무사 자격증 취득과정(병원실무),탑간호학원,222,2898640,32,76.9,31,인천,부평구
731,요양보호사 자격증취득과정(사회복지사),천안베스트간호학원 부설 요양보호사교육원,15,250000,33,51.3,51,충남,천안시
732,간호조무사자격취득,해피간호전문학원,249,2850000,30,68,35,광주,광산구
733,간호조무사 자격 취득과정,강남간호학원,238,2872800,27,75.9,31,경남,김해시
734,간호조무사 자격 취득과정,전주성모간호교육학원,221,2888000,30,72.9,30,전북,전주시
735,간호조무사국가자격취득과정,유설희간호학원,221,2888000,40,73.8,31,인천,미추홀구
736,간호조무사 자격 취득과정,진해간호학원,222,3100800,41,63.8,34,경남,창원시
737,간호조무사자격증 취득과정,평택보건간호학원,222,3301440,30,76.3,34,경기,평택시
738,요양보호사 자격증취득과정,고려요양보호사교육원,30,650000,20,,56,전북,익산시
739,요양보호사 자격 취득과정,삼성실버요양보호사교육원,45,640080,40,59.8,58,부산,북구
740,간호조무사 자격 취득과정,베스트간호학원,215,2954880,31,80.6,34,경기,안양시
741,간호조무사자격증취득과정,메디컬간호학원,222,2998960,27,58.6,34,전북,군산시
742,간호조무사 자격 취득과정 A,중앙간호학원,331,3240640,42,80.7,41,경기,안산시
743,간호조무사 자격 취득과정,창원간호학원,222,3199600,36,84.4,32,경남,창원시
744,요양보호사 자격증 취득과정,은행동미즈요양보호사교육원,34,500160,40,,54,대전,중구
745,간호조무사 자격 취득과정 A,중앙간호학원,213,3240640,42,80.7,32,경기,안산시
746,간호조무사자격취득과정,주식회사 은행동미즈간호학원,205,2489760,31,75,31,대전,중구
747,요양보호사자격증 취득과정,우리요양보호사교육원,30,550080,40,,59,서울,광진구
748,요양보호사자격증취득과정,삼성요양보호사교육원,36,640800,30,57.3,51,경남,통영시
749,병원특화간호조무사자격취득과정,유설희간호학원,221,2888000,40,73.8,32,인천,미추홀구
750,요양보호사 자격 취득과정,서면삼성실버요양보호사교육원,42,640080,38,54,55,부산,부산진구
751,간호조무사자격증취득과정,국제간호학원,222,2994400,32,69.2,40,경기,고양시
752,간호조무사 자격 취득과정,경남간호학원,224,3199600,45,77.4,34,경남,창원시
