,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
681,CAD/CAM 기계 실무,진성직업전문학교,83,4048400,20,95.8,30,인천,남동구
682,자동차 엔진정비 구직자 양성과정1,현대직업전문학교,164,6551600,28,77.9,26,대전,서구
683,NCS활용 기계설계실무양성과정,경북직업능력개발학원,40,1435200,10,73.1,29,경북,구미시
684,"로봇설계를 통한 스마트제조 가상화 구현(CATIA, VR)",글로벌산업기술교육원,100,7760800,20,86,26,서울,금천구
685,제품디자인 및 컴퓨터응용해석 양성과정,(주)동성직업전문학교,100,4877600,30,88.2,29,경기,수원시
686,고급자전거 실무정비 자격증반,현대자전거학원,18,1001560,10,32.6,51,서울,동대문구
687,자동차정비기능사 자격증 취득과정(실기),한국자동차정비학원,20,533900,20,62.8,30,서울,용산구
688,"CAD/CAM응용 생산기계제작(MCT, 5축 가공기) 양성",(재)한국직업능력교육원(구.열린직업전문학교),133,6401850,28,85.8,33,경기,시흥시
689,배관(에너지관리기능사+가스기능사)실기반,세영직업전문학교,10,650000,25,54.3,47,서울,영등포구
690,"자동차 카케어(광택,덴트,유리막코팅,실내크리닝)과정",프로틴팅학원,23,1251700,17,46.8,34,경기,고양시
691,전산응용기계제도양성(캐드+부품도작성+3D형상모델링),하우디자인캐드학원,60,1435200,20,57.1,27,대전,서구
692,자동차부품설계제작전문가,대한상공회의소전북인력개발원,154,9431940,23,,30,전북,군산시
693,[과정평가형]기계설계산업기사(A),한국산업직업전문학교(구.한국용접직업전문학교),107,5463800,20,,30,부산,사상구
694,"ERP공정관리시스템(공정관리, 회계)",CM세무전기직업전문학교,110,5351280,30,86.7,23,충남,천안시
695,[과정평가형] 공조냉동기계산업기사 취득과정,현대건설(주)기술교육원,77,4794600,30,,28,서울,영등포구
696,컴퓨터응용기계CAM가공양성,(재)부산인재개발원 부산직업전문학교,103,4267900,24,72.6,34,부산,수영구
697,자동차 외장관리 과정,한국자동차정비학원,20,1067800,10,62.8,27,서울,용산구
698,3D프린터운용 실무자 양성과정,효성직업전문학교,89,4215900,20,,29,부산,해운대구
699,CAD실무과정(2D+3D),동양직업전문학교,19,717600,20,68,35,충남,천안시
