,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
81,특수용접 신규 구직자 양성과정,부산광역시건설기술교육원,100,5075000,30,,38,부산,북구
82,특수용접(CO2+TIG) 실무,이탱크교육(주),93,4712500,20,59,36,경기,성남시
83,특수용접/피복아크용접 실무-맞대기용접,월드용접전문기술학원,35,1351420,12,,36,충남,천안시
84,[과정평가형자격]용접기사 취득과정(A),한국산업직업전문학교(구.한국용접직업전문학교),150,9570000,20,83.6,32,부산,사상구
85,"특수용접(티그,아크)및 파이프용접",충남산업기술학원,67,2900000,20,,31,충남,천안시
86,특수용접 구직자 과정,신세기용접기술학원,96,5510000,20,76.7,43,경기,시흥시
87,용접산업기사 자격취득과정(A),재단법인 이찬 경북직업전문학교,137,6663010,24,76.7,26,경북,포항시
88,(2020년 과정평가형 자격) 용접기사 자격취득과정,서울현대직업전문학교 디지털구로캠퍼스,151,9570000,25,,30,서울,구로구
89,플랜트용접,(재)이찬 경남직업전문학교,90,4930000,24,87.2,27,경남,창원시
90,특수용접(TIG+CO2+피복아크) 실무 양성,(재)한국직업능력교육원(구.열린직업전문학교),99,5510000,30,80.4,35,경기,시흥시
91,"특수용접(TIG,CO2)",(재)대구직업전문학교,65,3262500,20,61.8,33,대구,북구
92,TIG용접실무용접사양성,양산기술직업전문학교,80,1740000,20,,49,경남,양산시
93,가스텅스텐아크용접 배관용접실무 구직자 양성 과정,라인용접학원,83,4785000,20,,38,경기,평택시
94,특수용접 실무양성 과정,이니용접기술학원,76,4350000,20,62.5,39,경북,경산시
95,TIG(알곤)용접,(재)건설기술교육원,41,1160000,25,50,45,인천,남동구
96,과정평가형자격 특수용접기능사(A),영진직업전문학교,75,4567200,20,69.6,40,경남,김해시
97,특수용접(TIG+CO2)및 피복아크용접 실무과정,(재)한국공업직업전문학교,117,5133000,20,83.8,32,,
98,TIG 파이프용접 양성과정,아성직업전문학교,88,5075000,20,,38,경남,김해시
99,특수용접기능인력양성 및 용접자격증과정,동부직업전문학교,200,10150000,24,71.1,34,전남,순천시
100,용접기능사(실기),수도용접냉동기술학원,52,1131000,20,60.7,41,서울,동대문구
101,특수용접 실무양성 및 특수용접기능사 취득과정A,한동직업전문학교 주식회사,108,5481000,25,67.7,35,경북,포항시
102,특수용접현장실무자양성과정,고려용접기술학원,78,3915000,20,80.6,38,대구,남구
103,특수용접기능사 취득A,대산직업전문학교,76,4567200,25,89.7,38,부산,연제구
104,조선/해양 파이프용접(TIG+CO2)인력양성과정,한국산업직업전문학교(구.한국용접직업전문학교),125,9425000,20,83.6,31,부산,사상구
105,특수용접 신규 구직자 양성과정,한국용접배관기술학원,127,5510000,20,68.2,37,전북,전주시
106,특수용접기능사취득,진주용접학원,48,1424480,10,,32,경남,진주시
107,특수용접[TIG(알곤)용접+CO2용접+피복아크용접]구직자양성과정,한국전산직업전문학교(주),100,4930000,26,77.4,40,충북,청주시
108,특수용접실무(TIG+CO2)(실기),수도용접냉동기술학원,52,1131000,18,60.7,36,서울,동대문구
109,특수용접/피복아크용접 실무-비드쌓기,월드용접전문기술학원,35,1351420,12,,49,충남,천안시
110,수전사 아트페인팅과정,본커스텀직업전문학원,32,1824220,5,63.6,35,부산,사상구
111,특수용접향상과정,월드용접전문기술학원,50,1450000,14,59,42,서울,영등포구
112,파이프용접 양성,전주용접기술학원,68,3915000,20,,33,전북,전주시
