,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
1259,미용사(네일)자격증 취득과정,주식회사에르모소뷰티직업전문학교,70,1811040,10,57.8,28,서울,마포구
1260,두피모발관리사양성,뷰티풀학원,10,388080,10,,50,서울,송파구
1261,네일아트실무 및 드릴과정,나레스트천안미용학원,10,507480,16,57.8,31,충남,천안시
1262,속눈썹 연장 과정,(주)나레스트 청량리 미용학원,15,438080,14,62.5,22,서울,동대문구
1263,미용사(피부) 국가기술자격 취득을 통한 피부관리사 취업,한성미용직업전문학교,43,1940400,14,72.9,31,서울,중랑구
1264,헤어미용 실무,수원뷰티실용전문학교,50,1293600,20,73.2,44,경기,수원시
1265,호텔 룸메이드 실무,수원여성인력개발센터(대한YWCA연합회분,23,725140,20,,52,경기,수원시
1266,미용(일반) 자격증 취득과정,씨앤씨 미용학원,54,2069760,15,,36,경기,시흥시
1267,관광통역안내사 국가 자격증 취득과정(필기),종로아바CS평생교육원,29,942640,16,,32,서울,종로구
1268,미용사(네일)국가자격증취득과정,나레스트뷰티아카데미미용학원 연산점,60,1552320,12,61.5,30,부산,연제구
1269,미용사일반(헤어)자격증 취득과정,에르모소뷰티직업전문학교 안양점,80,2069760,10,70.1,38,경기,안양시
1270,미용사(일반)헤어자격증 취득과정,뷰티풀드림학습센터미용학원,45,2037420,10,,31,서울,구로구
1271,헤어 커트&스타일 연출,태양미용직업전문학교,25,646800,12,75.9,43,서울,성동구
1272,헤어자격증과정,덕천엔(N)뷰티학원,80,2069760,15,,38,부산,북구
1273,미용사(네일)자격증 취득,궁전요리제빵미용직업전문학교,65,1584660,14,56.9,29,전북,전주시
1274,미용사(일반) 헤어국가자격증 취득과정,일산크리스챤쇼보미용학원,80,2069760,20,,33,경기,고양시
1275,미용사(네일) 실무 디자인 향상과정,한국직업능력전문학원,25,789090,10,40.7,27,인천,부평구
1276,속눈썹 연장 실무자 양성과정,워너비뷰티아카데미학원,10,258720,14,,36,경기,고양시
1277,미용사(피부)자격증 취득과정,에르모소뷰티직업전문학교 안양점,70,1811040,20,70.1,28,경기,안양시
1278,피부자격증 실기,무궁화뷰티직업전문학교,70,1811040,14,50.6,29,대구,남구
1279,속눈썹 연장 전문가,일산에르모소직업전문학교,10,258720,14,70.5,34,경기,고양시
1280,헤어미용 실무(커트&펌&염색),태양미용직업전문학교,45,1164240,12,75.9,50,서울,성동구
1281,미용사 헤어 국가자격증,안양아이비알뷰티미용학원,92,2000000,15,,30,경기,안양시
1282,미용사(일반)자격증취득과정,크리스챤쇼보미용직업전문학교주식회사,80,2069760,20,75.8,40,경남,창원시
1283,속눈썹 연출,성심미용예술직업전문학교,17,439820,18,58.1,34,부산,부산진구
1284,"헤어살롱실무 향상과정(커트,펌)",동서울미용직업전문학교,28,1086620,12,63.4,40,서울,강동구
1285,미용사(일반)자격증취득,수원뷰티실용전문학교,80,2069760,20,73.2,28,경기,수원시
1286,속눈썹연장(메이크업),한성미용직업전문학교,10,316930,12,72.9,34,서울,중랑구
1287,미용사(헤어)국가자격증 취득과정,금성직업전문학교,86,1940400,16,54.1,25,광주,동구
1288,미용사(네일) 국가기술자격 취득을 통한 네일관리사 취업,한성미용직업전문학교,46,2069760,20,72.9,27,서울,중랑구
1289,네일미용 취업과정,금성직업전문학교,35,776160,10,54.1,33,광주,동구
1290,피부살롱실무 및 왁싱실무,GMB직업전문학교,30,776160,20,61.2,36,서울,관악구
1291,네일미용사 자격증 취득 속성과정,우석미용학원,53,1371210,10,49.3,27,서울,서대문구
1292,네일아트&드릴실무반,성심미용예술직업전문학교,32,827900,18,58.1,28,부산,부산진구
1293,미용사(네일)자격증 실기과정,이손네일아트&뷰티미용학원,55,1422960,15,,29,경남,창원시
1294,메이크업자격증과정,미앤지뷰티직업전문학원,80,1552320,10,60,30,전북,군산시
