,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
0,네이버 쇼핑몰 제작,부산나래디자인학원,38,1035600,10,70.2,48,부산,중구
1,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,48,서울,영등포구
2,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,151200,500,,,서울,구로구
3,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,216700,500,,,서울,강남구
4,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,137700,500,,,서울,구로구
5,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,180900,500,,51,서울,구로구
6,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,118900,500,,,서울,강남구
7,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,146500,500,,,서울,강남구
8,주택관리사(1차이론반),한국이러닝협회,56,398600,500,,,서울,구로구
9,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,264600,500,,51,서울,구로구
10,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,226800,500,,43,서울,구로구
11,주택관리사(종합이론반),한국이러닝협회,56,642200,500,,56,서울,구로구
12,주택관리사(2차이론반),한국이러닝협회,28,236300,500,,57,서울,구로구
13,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,50,1380800,15,53.3,41,경기,고양시
14,전자상거래 쇼핑몰 홈페이지 사이트 구축,열린컴퓨터학원,40,1380800,10,43.3,35,대전,대덕구
15,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,,서울,강남구
16,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,53,서울,구로구
17,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,60,서울,구로구
18,주택관리사(종합이론반),한국이러닝협회,56,692420,500,,66,서울,구로구
19,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,,서울,구로구
