,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
231,대기환경기사 자격대비반(필기),한국이러닝협회,79,274600,500,,,서울,구로구
232,태양광발전설비 및 전기공사 실무과정,경북산업직업전문학교,179,8933820,30,70.9,43,대구,동구
233,태양광발전시스템,대한상공회의소 경기인력개발원,177,8604000,30,85.7,,경기,파주시
234,신재생에너지 태양광발전설비 실무,한국이러닝협회,28,136620,500,,,서울,구로구
235,[원패스] 신재생에너지 발전설비기사 (실기) 종합반,사단법인 한국에듀테크산업협회,28,106130,500,,,서울,강남구
236,[탑강] 초음파비파괴검사기능사 필기,한국이러닝협회,41,147740,500,,,서울,구로구
237,대기환경기사 자격대비반(필기),한국이러닝협회,79,274600,500,,,서울,구로구
238,[탑강] 침투비파괴검사기능사 필기,한국이러닝협회,28,144770,500,,,서울,구로구
239,(태양광발전설비)태양광발전설비와 전기내선공사양성(비대면),부산산업직업전문학교,120,6595360,20,47.2,,부산,연제구
240,수질환경기술 및 자격증 취득과정,금성기술직업전문학교,63,3211860,20,,27,부산,부산진구
241,(태양광발전설비)전기태양광설비 및 전기기능사 자격취득과정(A),영남기술직업전문학교,123,6166200,24,,,대구,달서구
242,수질 및 대기환경관리인 실무자양성과정 (수질환경 및 대기환경기사 취득),주경야독 직업전문학교,55,3781160,20,,,서울,금천구
243,(태양광발전설비) 신재생(태양광) 및 전기기능사 취득 과정,수도직업전문학교,72,3871280,20,,,서울,영등포구
244,(산업환경)수질환경관리인 및 대기환경관리인 양성과정,중앙환경직업전문학교,100,5098200,29,,,대전,중구
245,산업안전산업기사 자격증취득(필기와실기),여수직업전문학교,47,859570,20,,,전남,여수시
