,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
301,"광고영상콘텐츠(촬영,편집,모션그래픽)제작A",수원직업전문학교(구.경기남부직업전문학교),120,5234040,30,,28,경기,수원시
302,시각디자인(일러스트&포토샵),더조은퍼스트컴퓨터바리스타학원,25,561900,20,35.2,31,경기,부천시
303,디지털디자인(웹퍼블리셔)양성,(주)강림직업전문학교,120,4719960,30,81.8,23,경기,평택시
304,게임 밸런스 기획자 양성과정,서울게임아트학원,120,2243160,17,51.1,26,서울,종로구
305,방송영상콘텐츠제작(기획/촬영/편집/모션그래픽),방송정보국제교육원,122,5981760,30,70.9,24,서울,영등포구
306,웹퍼블리셔(UI/UX 웹디자인)입문과정,노원 그린컴퓨터아카데미,58,1629510,20,53.8,27,서울,노원구
307,반응형웹디자인(웹퍼블리셔)UI/UX 프론트앤드 양성과정,더조은컴퓨터아트학원,95,4275700,20,59.3,25,강원,춘천시
308,게임 프로그램 개발자 양성과정,서울게임학원,225,4205920,30,,25,서울,종로구
309,[국기] 스마트기기 UXUI디자인 양성과정,에스비에스(SBS)아카데미컴퓨터아트학원,87,3371400,20,,27,광주,동구
310,디지털디자인양성과정(포토샵+일러스트레이터),본컴퓨터디자인학원,39,842850,6,,29,충북,충주시
311,"GTQ취득과정(포토샵,일러스트)",세종IT직업전문학교,25,561900,20,66.7,27,서울,영등포구
312,"디지털 영상편집 (프리미어, 애프터이팩트) 취업전문과정",그린컴퓨터아트학원,58,1629510,20,61.5,31,서울,종로구
313,편집(시각)디자인(포토샵+일러스트+GTQ자격증)과정,그린컴퓨터아카데미 대전,32,1067610,20,,27,대전,중구
314,디지털(UI/UX/웹/그래픽)디자인 실무자 양성과정-A,(주)울산KH정보교육원,95,4270440,20,60.5,26,울산,남구
315,스마트UI/UX디자인 & 웹퍼블리셔 양성과정A,국제컴퓨터아카데미,122,4101870,20,,27,서울,관악구
316,(과정평가형 자격)웹디자인기능사 취득과정 A (웹퍼블리셔 양성과정),그린컴퓨터아카데미 부산,76,3539400,20,63.4,24,부산,부산진구
317,그래픽스 운용기능사 실기[포토샵/일러스트/인디자인],신세계회계컴퓨터전문학원,30,747720,10,,29,울산,중구
318,"시각디자인-(일러스트, 포토샵, 인디자인, 옥외광고)디자이너 양성과정",그린컴퓨터아트학원,98,3371400,20,51.3,23,대구,중구
319,게임기획 및 그래픽 전문가 양성과정,시드학원,162,5047110,20,52.1,24,서울,서초구
320,"디지털디자인(웹디자이너, 웹퍼블리셔) 양성과정",그린컴퓨터아카데미 대전,95,4270440,20,,29,대전,중구
321,"[과정평가형]웹디자인기능사(웹퍼블리셔, HTML, CSS, Javascript, Jquey) A",이젠아카데미,75,3539400,20,66.7,25,서울,서대문구
322,"디지털영상편집디자인(프리미어,에펙터이펙트) 양성과정",그린컴퓨터아카데미 부천,59,1629510,20,,26,경기,부천시
323,"인테리어환경디자인설계(캐드,MAX,스케치업,실내건축) L",그린컴퓨터아카데미 부산,102,4551390,20,63.4,24,부산,부산진구
324,"영상편집&모션그래픽제작(프리미어,에프터이펙트,3D) A",이젠아카데미,106,5109420,20,53.5,24,서울,서대문구
325,"멀티미디어콘텐츠(촬영, 영상편집, 모션그래픽, UI/UX 디자인)제작 양성 A2",(재)한국아이티교육재단 한국IT아카데미 구로,108,5296350,20,69.5,24,서울,구로구
326,[과정평가형]UI/UX디자이너양성(웹디자인기능사)A,세종IT직업전문학교,75,3539400,20,,28,서울,영등포구
327,반응형 웹[앱] 디자이너 양성과정,(주)미래산업교육원 북부직업전문학교,86,3315690,20,57.1,28,경기,의정부시
328,"영상편집(2D그래픽,프리미어,에프터이펙트) 전문가 과정",그린컴퓨터아카데미 대전,38,1067610,20,,31,대전,중구
329,웹&모바일 앱디자인 퍼블리셔,세잔직업전문학교,109,4270440,20,53.1,24,경남,진주시
330,"GTQ자격증(포토샵,일러스트)-시각디자인",주식회사 이젠컴퓨터아카데미,28,786660,20,60.4,26,서울,노원구
331,영상편집/모션그래픽(유튜브 영상제작),주식회사 이젠컴퓨터아카데미,25,1246200,20,,26,서울,노원구
332,반응형 웹디자인 양성과정,국제직업전문학교,121,4270440,30,69.4,25,광주,동구
333,웹&앱 UI/UX 웹디자인 실무,이젠컴퓨터학원,75,3371400,20,64.3,26,경기,안양시
