,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
499,"구직자 실무활용 및 굴삭기,지게차운전기능사(이론+실기)취득",보령직업전문학교,40,1450400,15,53.8,45,충남,보령시
500,"건축시공(타일,도배)양성",(재)부산인재개발원 부산직업전문학교,115,4431000,20,,35,부산,수영구
501,조경(산림)계획시공,대경녹색기술직업전문학교,133,5836820,20,51,61,대구,북구
502,실내건축 인테리어(건축목공+바닥재+필름) 시공 실무 양성,(재)한국직업능력교육원(구.열린직업전문학교),97,4842450,20,,45,경기,시흥시
503,해외건설플랜트인력양성과정(건설장비정비관리),현대건설(주)기술교육원,89,5131000,29,,25,서울,영등포구
504,굴삭기운전+지게차운전기는사취득(실기),부원중장비학원,30,1087800,15,,42,경남,김해시
505,인테리어필름 입문자 과정,안산인테리어기술학원,15,759600,10,50,36,경기,안산시
506,조경(산업)기사 자격증 취득(실기),서울덕성기술학원,15,610830,25,43.1,30,서울,동작구
507,지게차 국가기술 자격증(실기),진동중장비학원,25,715500,10,,42,경남,창원시
508,해외건설플랜트인력양성과정(Global HSE),현대건설(주)기술교육원,89,5042100,30,98,25,서울,영등포구
509,헤외건설플랜트인력양성과정(건설사업관리),현대건설(주)기술교육원,76,4321800,30,98,25,서울,영등포구
510,타일 시공 기능사 양성과정,국제건축기술평생교육원,23,1139400,20,62,46,경기,수원시
511,건설기계운전(이론)-자격증취득,영남직업전문학교,20,439500,15,52.1,49,경북,포항시
512,도배기능사(실기)취득 및 실무자양성과정,부천인테리어기술학원,25,1266000,12,47.4,40,경기,부천시
513,NCS지게차.굴삭기자격증취득과정,연안중장비운전학원,40,2003400,10,64.7,42,경기,고양시
514,과정평가형 조경산업기사,삼일직업전문학교,107,5472000,20,64.5,52,경남,창원시
515,"실내건축설계(캐드,스케치업,맥스)",이젠아카데미평생교육원,76,2487100,15,75.6,25,서울,종로구
516,지게차 운전기능사 자격취득,신한양직업전문학교,19,965920,15,55,34,부산,사하구
517,캐드(CAD)활용 전산응용건축제도기능사 취득(실기),플러스컴퓨터학원,50,981750,15,,34,경기,용인시
518,"중장비운전자격증(지게차,굴삭기)",한결직업전문학원,39,1689710,25,55.9,42,대구,달성군
519,"BIM실내건축설계(인테리어디자인, REVIT, CAD, MAX, 3D프린터)",영남직업능력개발원,107,4921840,20,44.2,32,대구,달서구
520,인테리어필름시공기술양성과정,요셉인테리어기술건축학원,20,1062800,10,,45,경기,부천시
521,지게차운전실기,대성중장비학원,17,715500,10,52.2,44,경기,남양주시
522,도배실무 및 자격증 취득과정,국제건축기술평생교육원,23,1139400,18,62,37,경기,수원시
523,(과정평가형 자격)조경 산업기사 취득과정A,그린직업전문학교주식회사,98,4997760,20,45.2,56,경기,광주시
524,"오토캐드 양성과정+ATC캐드마스터 1급, 2급(실기)과정",현대정보컴퓨터학원,20,654500,9,,35,서울,양천구
525,인테리어목공 입문 및 자격증과정,가송인테리어목공기술학원,20,1262800,30,46,39,서울,노원구
526,"건축시공(타일,건축도장)",(재)대구직업전문학교,100,3165000,17,55.9,32,대구,북구
527,전산응용건축제도기능사 취득과정(실기),이음컴퓨터디자인학원 영대점,34,654500,10,,23,경북,경산시
528,실내인테리어시공실무(수장시공도배필름+목공),한국건설직업전문학교,100,5064000,25,44.4,36,서울,금천구
529,[주경야독] 취업으로 통하는 전산응용건축제도기능사 필기,한국이러닝협회,28,124740,500,46.2,,서울,구로구
530,[탑강] 실내건축기능사 필기,한국이러닝협회,28,277000,500,46.2,45,서울,구로구
