,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
237,애견미용3급자격증과정,도도한DOG애견미용학원,110,2625920,20,,25,전남,목포시
238,애견미용3급대비반(반려견스타일리스트),제이제이애견미용학원,107,2745920,15,25.5,27,서울,노원구
239,원예기능사,미래직업기술학원,81,4162340,20,,50,울산,남구
240,애견미용3급자격증과정,베프반려동물아카데미,110,2625920,20,,27,경기,고양시
241,반려견스타일리스트3급취득과정(이론+실기),인천프로펫평생교육원,80,1909760,15,,28,인천,부평구
242,애견미용사3급 자격증 취득 과정,다솜애견전문학원,110,2625920,20,,25,부산,연제구
243,[탑강] 유기농업기능사 필기,한국이러닝협회,28,152770,500,20,59,서울,구로구
244,[탑강] 유기농업기사 필기,한국이러닝협회,28,254970,500,20,,서울,구로구
245,애견미용사 3급 자격증 취득 과정,베스트강북애견미용학원,110,2625920,30,,28,서울,강북구
246,합격! 농산물품질관리사 1차+2차 합격반,한국이러닝협회,56,380160,500,,43,서울,구로구
247,[탑강] 유기농업산업기사 필기,한국이러닝협회,49,186500,500,20,,서울,구로구
248,애견미용얼굴컷과정,동물농장애견미용학원,43,1126490,12,50,32,부산,동래구
249,애완동물미용 기본과정,광주애견미용학원,100,2387200,15,,28,광주,북구
250,애견미용사 3급 자격증 과정,경북애견미용학원,110,2625920,20,,32,경북,구미시
251,반려견스타일리스트3급자격증과정(애견미용사),킴스애견미용학원,115,2745280,20,47.6,28,서울,강남구
252,애견미용사3급자격증,에이스애견미용학원,110,2625920,30,51.5,26,경기,부천시
253,합격! 농산물품질관리사 1차+2차 합격반,한국이러닝협회,56,380160,500,,37,서울,구로구
254,[탑강] 유기농업기사 필기,한국이러닝협회,28,254970,500,20,,서울,구로구
255,[탑강] 유기농업산업기사 필기,한국이러닝협회,49,186500,500,20,51,서울,구로구
256,[탑강] 유기농업기능사 필기,한국이러닝협회,28,152770,500,20,38,서울,구로구
257,애견미용 3급자격증,탑애견미용학원,50,2387200,20,,29,서울,관악구
258,반려견스타일리스트 3급자격증과정,춘천애견미용학원,115,2745280,18,,31,강원,춘천시
259,애견미용사 3급 자격증 취득 과정,충남애견미용학원,110,3207920,9,,30,충남,천안시
260,애견미용사 3급 자격증,중앙애견미용학원,110,2625920,20,61.1,28,서울,영등포구
261,반려견스타일리스트3급자격증과정(애견미용),킴스애견미용학원,110,2625920,20,47.6,32,서울,강남구
262,(이론+실기)애견미용사3급자격증과정,동물농장애견미용학원,80,2009760,15,50,28,부산,동래구
263,애견미용사심화과정,동물농장애견미용학원,20,802440,12,50,44,부산,동래구
264,애견미용사 3급 자격증 취득과정,일산에이스애견미용학원,110,2625920,30,,,경기,고양시
265,애견미용사 3급 자격증과정,대전애견미용학원,110,2625920,11,,,대전,서구
266,애견미용사3급 자격증 취득 과정,다솜애견전문학원,110,2625920,20,,,부산,연제구
267,합격! 농산물품질관리사 1차+2차 합격반,한국이러닝협회,56,380160,500,,,서울,구로구
268,[올배움] 식물보호기사 필기 합격대비과정,한국이러닝협회,28,165680,500,,,서울,구로구
269,[탑강] 유기농업산업기사 필기,한국이러닝협회,49,186500,500,20,,서울,구로구
270,[탑강] 유기농업기능사 필기,한국이러닝협회,28,152770,500,20,36,서울,구로구
271,산림기능사(필기),관인미솔꽃조경학원,26,906360,20,,62,인천,서구
272,애견미용사 자격증 취득과정,충남애견미용학원,100,3082600,9,,,충남,아산시
273,애견미용사 3급 자격증,중앙애견미용학원,110,2625920,20,61.1,26,서울,영등포구
274,숲가꾸기[산림]기술자양성과정,숲생태조경인재개발학원,50,1307250,15,57.9,,인천,계양구
275,애견미용실무자 양성과정,HS평생교육원,115,2745280,20,48,26,인천,미추홀구
276,반려견 스타일리스트3급 자격증 취득과정,해피애견미용학원,105,2506560,20,,,충북,청주시
277,반려견 스타일리스트3급 자격증 취득과정,해피애견미용학원,105,2506560,20,,30,충북,청주시
278,[탑강] 유기농업기능사 필기,한국이러닝협회,28,152770,500,20,,서울,구로구
279,합격! 농산물품질관리사 1차+2차 합격반,한국이러닝협회,56,380160,500,,,서울,구로구
280,[탑강] 유기농업산업기사 필기,한국이러닝협회,49,186500,500,20,,서울,구로구
281,애견미용사 3급 자격증 취득 과정,에이스애견미용학원,110,2625920,20,,,서울,은평구
282,(과정평가형)식물보호산업기사,한결직업전문학교,101,4532140,20,,,대구,서구
283,애견미용사 3급 자격증,중앙애견미용학원,110,2625920,20,4.3,,경기,성남시
284,애견미용실무취업과정,탑애견미용학원,50,2387200,20,,,서울,관악구
285,반려견스타일리스트3급취득과정(이론+실기),인천프로펫평생교육원,80,1909760,15,,,인천,부평구
286,애견미용얼굴컷과정,동물농장애견미용학원,43,1126490,12,50,,부산,동래구
287,(이론+실기)애견미용반려견스타일리스트3급자격증취득과정,동물농장애견미용학원,80,2009760,15,50,,부산,동래구
288,애견미용사 3급 자격증 취득 과정,베스트강북애견미용학원,110,2625920,30,,,서울,강북구
289,합격! 농산물품질관리사 1차+2차 합격반,한국이러닝협회,56,380160,500,,,서울,구로구
290,[탑강] 유기농업기능사 필기,한국이러닝협회,28,152770,500,20,,서울,구로구
291,[탑강] 유기농업산업기사 필기,한국이러닝협회,49,186500,500,20,,서울,구로구
292,애견미용 3급자격증,탑애견미용학원,100,2387200,20,,,서울,관악구
293,애완동물미용실무자 양성과정,HS평생교육원,110,2625920,20,48,,인천,미추홀구
294,애견미용사심화과정,동물농장애견미용학원,20,802440,12,50,,부산,동래구
295,식용곤충 사육,경상직업전문학교,91,3413590,20,,,대구,달서구
296,합격! 농산물품질관리사 1차+2차 합격반,한국이러닝협회,56,380160,500,,,서울,구로구
297,[탑강] 유기농업기능사 필기,한국이러닝협회,28,152770,500,20,,서울,구로구
298,[탑강] 유기농업산업기사 필기,한국이러닝협회,49,186500,500,20,,서울,구로구
299,애견미용사 취업과정,프로펫애완동물관리학원,113,2697530,15,46.9,,강원,원주시
300,(이론+실기)애견미용반려견스타일리스트3급자격증취득과정,동물농장애견미용학원,80,2009760,15,50,,부산,동래구
301,반려견 스타일리스트3급자격,수영애견미용전문학원,63,3190510,20,,,부산,수영구
302,애견미용3급자격증과정,도도한DOG애견미용학원,110,2625920,20,,,전남,목포시
303,반려견스타일리스트3급대비반(애견미용),제이제이애견미용학원,98,2745920,15,,,서울,노원구
304,애견미용사 3급 자격증 과정,경북애견미용학원,110,2625920,20,,,경북,구미시
305,(이론+실기)애견미용사3급자격증과정,동물농장애견미용학원,80,2009760,15,,,부산,동래구
306,애견미용사3급자격증,에이스애견미용학원,110,2625920,30,,,경기,부천시
