,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
1237,전산회계실무,이지컴퓨터학원,38,1245450,10,45.3,36,광주,서구
1238,컴퓨터활용능력2급실기취득과정,명문직업전문학교,20,359700,15,43.5,37,인천,계양구
1239,전산세무1급(TAT1급) 자격증취득,주식회사 이젠컴퓨터아카데미,32,1048800,20,67.8,34,서울,노원구
1240,NCS회계사무원(전산회계1급+컴퓨터활용능력2급),부천우리직업전문학교,40,1311000,20,60,34,경기,부천시
1241,XPERP인사관리양성과정,한국아파트회계전문학원,31,774220,20,72.7,41,경기,수원시
1242,"사무자동화-컴퓨터활용능력1급,2급 자격취득(필기+실기)",라인직업전문학원,35,839300,20,,25,경남,김해시
1243,사무행정실무자양성과정 (ITQ한글+파워포인트+엑셀),The국제직업전문학교,55,1318900,15,56.7,41,광주,광산구
1244,컴퓨터활용능력2급자격증(자격증&실무),서산컴퓨터학원,29,599500,15,48.6,31,충남,서산시
1245,전산세무회계초급과정(전산회계1급),군산세무회계학원,40,786600,12,52.7,27,전북,군산시
1246,XPERP회계실무양성과정,한국아파트회계전문학원,18,707940,20,70.3,45,경기,수원시
1247,"전산회계(FAT1,2급)자격증 취득",정우컴퓨터전산회계학원,30,786600,20,49.7,26,경남,창원시
1248,"전산회계세무(전산회계1급,전산세무2급)자격증취득과정",노원 그린컴퓨터아카데미,40,1311000,20,,28,서울,노원구
1249,"사무행정(ITQ 한글,파워포인트,엑셀)취득 과정",그린컴퓨터아카데미,24,719400,20,53,37,경기,의정부시
1250,"ITQ자격증(한글,엑셀,파워포인트)+컴퓨터활용능력2급 실기",하이미디어컴퓨터학원,24,599500,22,,30,서울,마포구
1251,전산회계1급+전산세무2급 자격증과정,시삽컴퓨터회계학원,47,1232340,10,57.6,21,강원,원주시
1252,컴퓨터활용능력2급+ITQ(한글/엑셀/파포)자격취득,성남엘리트컴퓨터학원,27,647460,20,42.7,39,울산,중구
1253,회계실무 양성과정(전산회계1급 전산세무2급 자격증취득과정),그린컴퓨터아카데미,35,1376550,25,49,27,울산,남구
1254,ITQ 및 컴퓨터활용능력2급 자격취득,나우전산학원,34,599500,20,39.8,28,경남,창원시
1255,전산회계1급+전산세무2급+인사급여(급여계산/4대보험/원천징수/연말정산),하이미디어컴퓨터디자인학원,42,1376550,30,57.3,26,경기,고양시
1256,전산세무회계 자격증 취득과정,국제직업전문학교,55,1376550,20,56.7,25,광주,동구
1257,"컴퓨터활용능력2급자격증취득과정(필기,실기)",현대직업전문학교,23,539550,13,34,25,광주,서구
1258,생산품질관리(QM),한국산업연수원충북직업전문학교(주),93,5012700,30,,24,충북,청주시
1259,전산회계1급(FAT) + 전산세무2급(TAT) + 전산세무1급(TAT) 취득과정,대성컴퓨터회계학원,50,1638750,15,51.9,27,서울,관악구
1260,"전산회계1,2급 자격증취득과정",브이전산회계IT직업전문학원,62,1219230,12,50,25,전북,익산시
1261,"ITQ마스터자격증취득과정(한글,엑셀,파워포인트,엑세스)",다산직업전문학교,36,539550,10,46.5,39,인천,미추홀구
1262,"전산세무회계 자격증 취득과정(전산회계1급(FAT1급), 전산세무2급)",The국제직업전문학교,60,1573200,16,55.6,25,광주,광산구
1263,컴퓨터활용능력2급(실기)과 사무자동화프로그램활용(한글/오피스),새동아직업전문학교,24,431640,25,45.9,36,부산,사하구
1264,사무행정 및 포토샵 자격증(ITQ.컴활2급.포토샵),시삽컴퓨터회계학원,42,1007160,10,48.4,29,강원,원주시
1265,컴퓨터활용능력2급,CM세무전기직업전문학교,20,479600,20,51.2,25,충남,천안시
1266,회계 자격증 완전정복(더존FAT1급+전산회계1급+전산세무2급),사람과잡수원평생교육원,30,1376550,20,63.2,26,경기,수원시
1267,"실무를겸비한전산세무회계양성과정(전산회계1,2급+전산세무2급)",다파회계컴퓨터학원,56,1835400,20,34.2,33,울산,중구
1268,전산회계1급&FAT1급 자격취득_100H,더조은컴퓨터학원,25,655500,20,62.6,25,경기,안양시
1269,총무사무/ CAD 설계 실무,탑스터디컴퓨터학원,23,628380,20,47.5,45,전북,군산시
1270,"사무행정 양성 과정 (ITQ 한글, 엑셀, 파워포인트)자격증 취득",용인직업전문교육원,30,719400,12,46.4,56,경기,용인시
1271,컴퓨터활용능력2급 자격증취득(필기+실기),파란직업전문학교,33,599500,20,51.9,32,전남,순천시
1272,전산세무실무과정,동양직업전문학교,16,786600,20,68.8,,충남,천안시
1273,"전산세무회계자격증반Ⅰ[전산회계1급,2급]",우쌤전산세무회계직업전문학교,45,1179900,25,62.2,29,대전,서구
1274,컴퓨터활용능력2급 자격증취득과정(컴활이론+컴활실기),신영진컴퓨터학원,26,534560,10,42.2,30,서울,구로구
1275,"사무행정ITQ(한글,파워포인트)컴퓨터활용능력2급(엑셀)취득과정",그린컴퓨터아트학원,24,599500,20,52.2,30,서울,종로구
