,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
99,초경량 비행장치(드론) 조종자 국가전문 자격증 취득C,서수원직업전문교육원,10,1498820,8,,41,경기,수원시
100,초경량비행장치(드론)조종자격증취득과정(필기+실기),제일에너지교육원종로학원,41,2137800,24,,37,서울,종로구
101,"초경량비행장치(드론) 평가지도조종자(교관,평가관) 양성과정",부산직업능력교육원,39,1924020,10,,,부산,사상구
102,"초경량비행장치(드론) 평가지도조종자(교관,평가관) 양성과정",부산직업능력교육원,39,1924020,10,,,부산,사상구
103,"초경량비행장치(드론) 평가지도조종자(교관,평가관) 양성과정",부산직업능력교육원,39,1924020,10,,48,부산,사상구
104,초경량비행장치 무인멀티콥터(드론) 조종자격 취득,(주)오토월드무인항공교육원,15,2301080,12,,48,충남,금산군
105,초경량 비행장치(드론) 국가자격증 취득 및 항공방제 실무,(주)엠지아이티 부설 인제드론아카데미,23,1501440,8,,34,경남,김해시
106,초경량비행장치(드론) 조종자 국가자격증 취득 과정,부산직업능력교육원,27,1532090,20,,51,부산,사상구
107,초경량비행장치(드론) 조종자 자격증 취득과정,더조은아카데미,20,2500000,8,41.2,43,광주,서구
108,[유망자격] 드론 (초경량비행장치 무인멀티콥터) 조종자 국가자격 (필기),사단법인 한국에듀테크산업협회,56,243540,500,,46,서울,강남구
109,초경량비행장치 조종자 자격증 취득과정(주말반),주식회사제천항공드론전문교육원,15,2800000,4,,,충북,제천시
110,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,20,1351260,16,51.8,23,서울,서초구
111,"항공 지상직 예약,발권(CRS/DCS)자격증 취득과정(NCS기반)",종로아바CS평생교육원,26,926380,16,,31,서울,종로구
112,초경량비행장치 드론 조종자 국가자격증 취득 과정(평일),알씨스카이 부설 무인기술UAV교육원,28,1980000,8,,41,경남,창원시
113,초경량비행장치 드론 지도조종자(교관) 과정,알씨스카이 부설 무인기술UAV교육원,28,3500000,3,,50,경남,창원시
114,초경량 비행장치(드론) 조종자 국가전문 자격증 취득C,서수원직업전문교육원,10,1498820,8,,51,경기,수원시
115,드론(무인멀티콥터) 국가기술자격증 취득과정 -평일반,한국무인항공(주)교육원,15,2500000,8,,38,경남,창원시
116,초경량비행장치 조종자 자격증 취득과정(평일반),주식회사제천항공드론전문교육원,15,2500000,8,,38,충북,제천시
117,초경량비행장치(드론) 조종자격 취득 및 드론방제기초,영진기술교육원,25,1425200,8,,41,경남,고성군
118,초경량 비행장치(드론) 국가자격증 취득과정,(주)엠지아이티 부설 인제드론아카데미,15,1500000,8,,28,경남,김해시
119,무인멀티콥터(드론)국가자격증 취득과정,영월드론비행교육원,15,2500000,8,,67,강원,영월군
120,초경량비행장치(드론)국가자격증 취득과정,금성직업전문학교,43,1368900,8,,37,광주,광산구
121,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,20,1351260,16,51.8,25,서울,서초구
122,무인멀티콥터(드론)국가자격증 취득과정,영월드론비행교육원,15,2500000,8,,,강원,영월군
123,초경량비행장치(드론) 조종자 자격증 취득 과정,경남산업직업전문학교,21,2301510,4,,35,경남,창원시
124,항공예약발권 자격증취득과정(CRS/DCS),신촌아바평생교육원(P12),24,855120,11,,,서울,마포구
