,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
97,의류봉제실무,광주패션디자인학원,43,1560380,15,,37,광주,북구
98,의상제작양성,문은영패션디자인학원,21,653180,10,,51,전북,전주시
99,스마트 의류 패턴과정,안양패션디자인학원,67,2256220,20,48.1,28,경기,안양시
100,의상제작양성,문은영패션디자인학원,35,653180,10,,32,전북,전주시
101,애견의류&패턴제작사,동작여성인력개발센터,45,1088640,10,36,45,서울,동작구
102,캐주얼의류메이킹,한밭직업전문학교,42,1270080,20,81.4,38,대전,중구
103,양장기능사 자격증 취득,모다인패션디자인학원,42,1607000,12,58.3,33,광주,동구
104,의류&홈패션제품생산(양성과정),이솜패션기능학원,32,1149120,10,,28,대구,서구
105,천연염색과 봉제,천연패션학원,34,604800,15,,50,대구,수성구
106,사운드에 반응하는 액티브 스마트 패션디자인,강남직업전문학교,149,5785200,20,63.3,59,광주,북구
107,비스포크 테일러링 맞춤양복 실업자 일반 과정,테일러아카데미,80,2903040,9,,27,서울,동대문구
108,의류제작실무양성-여성복 패턴,숙명패션디자인학원,60,1928400,15,48,29,대전,서구
109,패션메이킹 입문,한밭직업전문학교,60,1451520,16,81.4,43,대전,중구
110,양장기능사 취득 (실기),숙명패션디자인학원,50,1607000,15,48,33,대전,서구
111,의류제작과 수선과정,정수향당패션학원,40,1209600,15,28.6,51,대구,서구
112,의류제작실무양성-수선 패턴,숙명패션디자인학원,75,1928400,15,48,46,대전,서구
113,실무패턴봉제및수선과정,(주)실과바늘 직업전문학교,43,1814400,20,36.4,43,서울,서대문구
114,스마트패션&아트패션 디자인 양성과정(전도성섬유 활용),서면미리벌직업전문학교,125,5605210,20,53.8,36,부산,부산진구
115,스마트패턴봉제와 수선 및 기능복제작 양성과정,i센스직업전문학교,130,5849480,20,71.4,46,대구,중구
116,봉제(양성과정),이솜패션기능학원,28,846720,10,,,대구,서구
117,버추얼시스템을 활용한 패션디자인,한국패션실용전문학교,126,4949560,18,78.4,25,서울,종로구
118,애견패션 2급 자격증과정,한국평생직업학원,46,1391040,10,,35,대구,동구
119,아두이노 패션디자인,밀라노직업전문학교,150,5785200,20,61.5,39,광주,북구
120,한복제작실무,에크루패션디자인학원,70,1693440,10,,48,대전,중구
121,양장기능사(과정평가형),부산패션디자인학원,99,4381500,20,81.8,36,부산,동래구
