,과정명,학원명,기간,훈련비,정원,취업률,연령대
79,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,
80,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,
81,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
82,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
83,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,44
84,상가관리인(관리소장) 취업과정,하남컴퓨터학원,25,989000,30,,
85,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
86,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
87,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
88,주택관리사(종합이론반),한국이러닝협회,56,692420,500,,52
89,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,
90,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,
91,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
92,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,48
93,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,60
94,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,58
95,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,60
96,쇼핑몰(카페24) 구축 및 판매자 양성과정,서울IT직업전문학교,14,552320,20,43.9,39
97,포토샵/일러스트 활용 오픈마켓/쇼핑몰 상세페이지 마케팅(온라인 마케팅1),와이리더스 컴퓨터학원,41,1380800,12,50,31
98,쇼핑몰 구축 및 디자인(카페24+스마트스토어+오픈마켓),인컴트랜드평생교육원,24,828480,20,,38
99,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,29
100,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,
101,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,47
102,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
103,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,25
104,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,41
105,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,44
106,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,46
107,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,46
108,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
109,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,
110,쇼핑몰 웹디자인,부산나래디자인학원,45,1242720,10,70.2,45
111,카페24 쇼핑몰 구축과 운영,뉴컴퓨터학원,50,1380800,10,50,32
112,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,63
113,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,56
114,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
115,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
116,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,
117,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
118,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,46
119,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,56
120,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
121,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,
122,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,
123,카페24 쇼핑몰 구축과 운영,뉴컴퓨터학원,40,1380800,10,50,46
124,전자상거래 오픈마켓 쇼핑몰 홈페이지 구축,열린컴퓨터학원,40,1380800,10,43.3,41
125,"쇼핑몰디자인 및 구축운영(포토샵, 사진촬영, 마케팅, 오픈마켓)",(주)미래인재개발원,40,1380800,24,54.2,38
126,전자상거래 디지털마케팅 실무자 양성과정,도와세움 평생교육센터,25,1400000,38,,27
127,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,42
128,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,12,414240,20,43.9,39
129,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
130,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,46
131,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,
132,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,49
133,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
134,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,49
135,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,40
136,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,41
137,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
138,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,
139,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
140,쇼핑몰 웹디자인,부산나래디자인학원,45,1242720,10,70.2,42
141,쇼핑몰 상품사진 촬영 및 상세페이지(이미지) 리터칭 과정,서울IT직업전문학교,10,345200,20,43.9,40
142,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,50,1380800,15,53.3,33
143,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,44
144,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,49
145,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,52
146,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,
147,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
148,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,51
149,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
150,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,51
151,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,45
152,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,50
153,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
154,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,
155,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,46
156,e-플랫폼 기반 중국 비즈니스 전문가 양성과정,사단법인 충남산학융합원,53,4025000,20,,23
157,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,61
158,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,49
159,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,
160,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,49
161,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,
162,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,48
163,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
164,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,26
165,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,48
166,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,48
167,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
168,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,20,414240,20,43.9,36
169,쇼핑몰 디자인 및 마케팅,노원여성인력개발센터,30,828480,18,,43
170,전자상거래 디지털마케팅 및 PR 실무자 양성과정,도와세움 평생교육센터,36,2000000,38,,26
171,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,50,1380800,15,53.3,41
172,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
173,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,40
174,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,
175,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
176,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,
177,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,28
178,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,61
179,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
180,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,
181,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,
182,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
183,영업마케팅전문가과정1,(사)인재육성아카데미,38,2956800,30,,23
184,전자상거래 디지털마케팅 실무자 양성과정,도와세움 평생교육센터,25,1400000,38,,25
185,쇼핑몰(카페24+오픈마켓+스마트스토어) 관리자양성,고양여성인력개발센터,33,911320,20,60,41
186,네이버 쇼핑몰 제작,부산나래디자인학원,38,1035600,10,70.2,38
187,"쇼핑몰 구축 및 운영 (오픈마켓, 마케팅, 개인쇼핑몰 구축)",(주)미래인재개발원,40,1380800,24,54.2,38
188,주택관리사(2차이론반),한국이러닝협회,28,254930,500,,51
189,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
190,Wowpass! 주택관리사 1차 회계원리(이론+문제풀이) 합격반,한국이러닝협회,56,291060,500,,
191,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,209140,500,,
192,Wowpass! 주택관리사 1차 민법(이론+문제풀이) 합격반,한국이러닝협회,28,198990,500,,47
193,Wowpass! 주택관리사 2차 주택관리관계법규 합격반,한국이러닝협회,28,166320,500,,
194,주택관리사(1차이론반),한국이러닝협회,56,430460,500,,
195,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
196,Wowpass! 주택관리사 1차 공동주택시설개론(이론+문제풀이) 합격반,한국이러닝협회,56,249480,500,,
197,Wowpass! 주택관리사 2차 공동주택관리실무 합격반,한국이러닝협회,28,151470,500,,
198,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,37
199,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,42
200,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,
201,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,
