,과정명,학원명,기간,훈련비,정원,취업률,연령대
65,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,37
66,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,27
67,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,
68,한국어교원 양성(한국어교원 3급),은평여성인력개발센터,30,740040,20,21.7,48
69,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,
70,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,42
71,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,46
72,한국어교원3급 자격증취득(한국어강사),에이치알디(HRD)수원평생교육원,18,801710,18,,40
73,한국어교원3급 자격증취득과정(한국어강사),아바평생교육원,27,832540,11,,
74,한국어교원3급 자격증취득과정(한국어강사),아바평생교육원,27,832540,11,,
75,한국어교원3급 자격증취득과정(한국어강사),아바평생교육원,27,832540,11,,
76,한국어교원 양성과정(한국어교원 3급 자격증취득),탑직업교육센터,40,740040,12,,
77,한국어교원3급 자격증취득과정(한국어강사),신촌아바평생교육원(P12),27,832540,11,,38
78,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,
79,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,
80,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,
81,한국어교원3급 자격증취득과정(한국어강사),아바평생교육원,27,832540,11,,
82,한국어교원3급 자격증취득과정(한국어강사),신촌아바평생교육원(P12),17,832540,11,,
83,한국어교원3급 자격증취득과정(한국어강사),신촌아바평생교육원(P12),27,832540,11,,
84,한국어교원 양성(한국어교원 3급),은평여성인력개발센터,30,740040,20,21.7,
85,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,
86,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,
87,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,
88,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,
89,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,
90,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,
91,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26,
92,에듀테크 학습데이터 분석,사단법인 한국에듀테크산업협회,28,73520,500,,
93,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26,
94,한국어교원3급 자격증취득과정(한국어강사),아바평생교육원,27,832540,11,,
95,한국어교원3급 자격증취득과정(한국어강사),아바평생교육원,27,832540,11,,
