,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
0,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,40.0,서울,동대문구,11_경비청소,청소전문가
1,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,42.0,서울,동대문구,11_경비청소,청소전문가
2,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,345800,500,48.3,43.0,서울,구로구,11_경비청소,경비지도사
3,청소전문가 마스터 과정,내일직업전문학원,25,649400,12,54.5,52.0,대전,서구,11_경비청소,청소전문가
4,청소전문가기본과정,내일직업전문학원,20,519520,12,54.5,55.0,대전,서구,11_경비청소,청소전문가
5,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,46.0,서울,구로구,11_경비청소,경비지도사
6,옷수선&리폼 및 의류제작,한국일반문화센터,32,1226880,10,34.6,48.0,경기,평택시,11_경비청소,의류수선
7,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,48.0,서울,구로구,11_경비청소,경비지도사
8,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,48.0,서울,동대문구,11_경비청소,청소전문가
9,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,56.0,서울,동대문구,11_경비청소,청소전문가
10,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,58.0,서울,구로구,11_경비청소,경비지도사
11,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,53.0,서울,구로구,11_경비청소,경비지도사
12,의류수선 및 실용의복제작,한국일반문화센터,24,920160,10,34.6,46.0,경기,평택시,11_경비청소,의류수선
13,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,51.0,서울,구로구,11_경비청소,경비지도사
14,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,43.0,서울,동대문구,11_경비청소,청소전문가
15,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,46.0,서울,동대문구,11_경비청소,청소전문가
16,청소전문가기본과정,내일직업전문학원,20,519520,12,54.5,50.0,대전,서구,11_경비청소,청소전문가
17,청소전문가기본과정,내일직업전문학원,20,519520,12,54.5,57.0,대전,서구,11_경비청소,청소전문가
18,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,47.0,서울,구로구,11_경비청소,경비지도사
19,세탁기능사 자격증 과정,문정세탁기술학원,120,3067200,20,92.3,61.0,대구,달서구,11_경비청소,세탁기능사
20,"원샷원킬! 일반경비지도사 1,2차 대비반(선택-경호학)",한국이러닝협회,56,380380,500,48.3,49.0,서울,구로구,11_경비청소,경비지도사
21,"의류수선 취,창업 양성과정",따고집고 옷수선 전문기술학원,68,3041640,15,64.0,53.0,대구,동구,11_경비청소,의류수선
22,수선&리폼 및 의복제작,한국일반문화센터,32,1226880,10,34.6,48.0,경기,평택시,11_경비청소,의류수선
23,의류수선실무과정,(주)실과바늘 직업전문학교,43,1917000,16,34.5,43.0,서울,서대문구,11_경비청소,의류수선
24,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,48.0,서울,동대문구,11_경비청소,청소전문가
25,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,47.0,서울,동대문구,11_경비청소,청소전문가
26,청소전문가 마스터 과정,내일직업전문학원,25,649400,12,54.5,52.0,대전,서구,11_경비청소,청소전문가
27,청소전문가기본과정,내일직업전문학원,20,519520,12,54.5,54.0,대전,서구,11_경비청소,청소전문가
28,경비지도사 자격취득 2차 집중대비반,한국수레평생교육원,10,426860,26,38.5,26.0,경기,고양시,11_경비청소,경비지도사
29,경비지도사 자격증 취득 대비반,한국수레평생교육원,15,731760,26,38.5,50.0,경기,고양시,11_경비청소,경비지도사
30,"의류수선 취,창업 양성과정",따고집고 옷수선 전문기술학원,68,3041640,15,64.0,56.0,대구,동구,11_경비청소,의류수선
31,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,48.0,서울,동대문구,11_경비청소,청소전문가
32,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,49.0,서울,동대문구,11_경비청소,청소전문가
33,의류수선 및 실용의복제작,한국일반문화센터,24,920160,10,34.6,48.0,경기,평택시,11_경비청소,의류수선
34,청소전문가기본과정,내일직업전문학원,20,519520,12,54.5,53.0,대전,서구,11_경비청소,청소전문가
35,청소전문가 마스터 과정,내일직업전문학원,25,649400,12,54.5,56.0,대전,서구,11_경비청소,청소전문가
36,경비지도사 자격증 취득 대비반,한국수레평생교육원,15,731760,26,38.5,49.0,경기,고양시,11_경비청소,경비지도사
37,경비지도사 자격취득 2차 집중대비반,한국수레평생교육원,10,426860,26,38.5,58.0,경기,고양시,11_경비청소,경비지도사
38,수선&리폼 및 의복제작,한국일반문화센터,32,1226880,10,34.6,47.0,경기,평택시,11_경비청소,의류수선
39,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,47.0,서울,동대문구,11_경비청소,청소전문가
40,청소마스터종합과정,한국청소직업전문학원,24,1233860,23,50.8,44.0,서울,동대문구,11_경비청소,청소전문가
