,Unnamed: 0,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
1364,2073,"GTQ자격증(포토샵,일러스트)-시각디자인",주식회사 이젠컴퓨터아카데미,28,786660,20,60.4,29.0,08_문화 예술 디자인 방송,디자인
1365,2074,웹디자인과 웹퍼블리셔 전문가 양성(디지털디자인)A,연세직업전문학교,96,4270440,30,62.9,,08_문화 예술 디자인 방송,디자인
1366,2075,"(게임콘텐츠제작)게임그래픽(원화,모델링,애니메이션,이펙트)실무자양성",(주)누리마루학원,126,3925530,27,42.3,25.0,08_문화 예술 디자인 방송,게임
1367,2077,"시각디자인 및 영상그래픽제작,편집",이젠컴퓨터아트서비스학원,57,955230,20,47.4,,08_문화 예술 디자인 방송,디자인
1368,2078,게임 프로그래밍 제작 전문가 양성과정,서울게임아트학원,225,4205920,20,50.0,,08_문화 예술 디자인 방송,게임
1369,2079,웹디자인 및 스마트 UI/UX 웹퍼블리셔 양성과정,더조은컴퓨터아트학원,95,4270440,24,74.6,28.0,08_문화 예술 디자인 방송,디자인
1370,2080,(디지털디자인)스마트기기UIUX앱&웹디자인,더조은컴퓨터학원,85,4187900,20,66.2,,08_문화 예술 디자인 방송,디자인
1371,2081,[디지털디자인]UI/UX 반응형 웹디자인&웹퍼블리셔 실무전문과정-A,그린컴퓨터아트학원,95,4270440,20,76.9,23.0,08_문화 예술 디자인 방송,디자인
1372,2082,모바일 UI/UX 반응형 웹디자인(웹퍼블리셔) A,이젠아카데미평생교육원,102,4045680,20,87.2,,08_문화 예술 디자인 방송,디자인
1373,2083,그래픽디자인 및 쇼핑몰관리,대화직업능력개발원,32,1067610,10,52.8,35.0,08_문화 예술 디자인 방송,디자인
1374,2084,(과정평가형)제품응용모델링기능사 자격증취득과정(A),성심정보직업전문학교,100,3539400,20,76.5,25.0,08_문화 예술 디자인 방송,
1375,2085,모바일 UI/UX 반응형 웹디자인(웹퍼블리셔) D,이젠아카데미평생교육원,102,4045680,20,87.2,,08_문화 예술 디자인 방송,디자인
