,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
0,"직업상담사 2급 국가기술자격 취득과정(1,2차 통합)",씨앤씨직업상담학원,40,1028320,21,40.0,32.0,경기,수원시,07_사회복지종교,직업상담
1,직업상담사 2급 취득(1차/2차),중앙직업전문학교,50,1285400,20,46.7,40.0,인천,남동구,07_사회복지종교,직업상담
2,"직업상담사2급자격증취득과정(1차,2차)",현대직업전문학교,70,1349670,20,49.1,32.0,광주,서구,07_사회복지종교,직업상담
3,직업상담사자격증(필기+실기),윤성회계캐드컴퓨터학원,50,1285400,20,33.3,26.0,대구,북구,07_사회복지종교,직업상담
4,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,154200,500,32.5,,서울,구로구,07_사회복지종교,직업상담
5,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,422400,500,32.3,42.0,서울,구로구,07_사회복지종교,사회복지
6,"직업상담사2급(1차,2차)취득",서대문여성인력개발센터,43,1105440,20,43.0,36.0,서울,서대문구,07_사회복지종교,직업상담
7,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,291600,500,32.5,44.0,서울,구로구,07_사회복지종교,직업상담
8,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,278400,500,32.5,25.0,서울,구로구,07_사회복지종교,직업상담
9,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,137700,500,32.3,,서울,구로구,07_사회복지종교,사회복지
10,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,483300,500,29.3,44.0,서울,영등포구,07_사회복지종교,직업상담
11,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,170100,500,29.3,,서울,영등포구,07_사회복지종교,직업상담
12,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,143100,500,32.5,30.0,서울,구로구,07_사회복지종교,직업상담
13,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,424900,500,32.5,35.0,서울,구로구,07_사회복지종교,직업상담
14,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,253800,500,32.3,,서울,구로구,07_사회복지종교,사회복지
15,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,202500,500,32.3,,서울,구로구,07_사회복지종교,사회복지
16,"직업상담사 2급 자격 취득과정(1차필기, 2차실기 통합반)",영남직업능력개발원,47,1523190,20,43.4,41.0,대구,달서구,07_사회복지종교,직업상담
17,직업상담사2급 자격증 취득과정,미토직업전문학교,30,771240,20,35.5,38.0,부산,부산진구,07_사회복지종교,직업상담
18,직업상담사2급 필기과정,(주)조근혜 부설 대전직업상담사학원,32,771240,15,48.8,40.0,대전,서구,07_사회복지종교,직업상담
19,직업상담사2급 자격증,주식회사한국인재양성교육원,50,1285400,20,31.3,40.0,경기,수원시,07_사회복지종교,직업상담
20,직업상담사2급(2차)자격증 취득,울산직업전문학교,19,494870,20,30.0,43.0,울산,남구,07_사회복지종교,직업상담
21,"직업상담사 2급 자격증 취득과정(1차,2차 통합)",휴먼평생직업교육학원,45,1156860,18,43.5,36.0,전북,전주시,07_사회복지종교,직업상담
22,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,47.0,서울,구로구,07_사회복지종교,직업상담
23,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,35.0,서울,구로구,07_사회복지종교,직업상담
24,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,29.0,서울,구로구,07_사회복지종교,사회복지
25,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,,서울,구로구,07_사회복지종교,직업상담
26,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,26.0,서울,구로구,07_사회복지종교,사회복지
27,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,47.0,서울,영등포구,07_사회복지종교,직업상담
28,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,서울,구로구,07_사회복지종교,사회복지
29,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,37.0,서울,구로구,07_사회복지종교,직업상담
30,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,26.0,서울,구로구,07_사회복지종교,사회복지
31,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구,07_사회복지종교,직업상담
32,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,46.0,서울,구로구,07_사회복지종교,직업상담
33,"직업상담사2급 자격 취득과정(1,2차 통합)",(주)이룸리더십연구원 이룸리더십학원,45,1156860,20,33.3,47.0,인천,남동구,07_사회복지종교,직업상담
34,직업상담사2급 자격증취득(1차+2차),이젠컴퓨터아트서비스학원,50,1285400,10,31.3,27.0,전북,전주시,07_사회복지종교,직업상담
35,직업상담사2급 자격증취득(2차 실기),양산직업학교,20,385620,20,58.8,41.0,경남,양산시,07_사회복지종교,직업상담
36,직업상담사 2급(1차+2차)자격증 취득,종로여성인력개발센터,43,1105440,25,49.0,40.0,서울,종로구,07_사회복지종교,직업상담
37,직업상담사2급 자격(1차 필기),부산예일직업전문학교,26,655550,20,34.1,33.0,부산,부산진구,07_사회복지종교,직업상담
38,직업상담사2급 자격증 취득,영등포여성인력개발센터,39,1075200,20,37.5,44.0,서울,영등포구,07_사회복지종교,직업상담
39,직업상담사 2급 자격증취득과정(필기+실기),(주)울산KH정보교육원,43,1542480,20,32.8,37.0,울산,남구,07_사회복지종교,직업상담
40,직업상담사2급 자격증 취득과정(2차 실기),(주)이룸리더십연구원 이룸리더십학원,27,514160,20,33.3,48.0,인천,남동구,07_사회복지종교,직업상담
41,직업상담사 2급 취득(1차/2차),중앙직업전문학교,50,1285400,20,46.7,45.0,인천,남동구,07_사회복지종교,직업상담
42,산모신생아 건강관리사 양성,엘림평생교육원,15,373260,12,56.8,57.0,부산,동구,07_사회복지종교,건강관리
43,"직업상담사 2급 자격증 취득과정 (1차, 2차)",(주)미래산업교육원 북부직업전문학교,52,1336810,20,39.7,38.0,경기,의정부시,07_사회복지종교,직업상담
44,직업상담사 2급 자격증 취득과정(필기/실기),강서여성인력개발센터,50,1285400,20,40.0,,서울,강서구,07_사회복지종교,직업상담
45,직업상담사2급자격시험 대비반,안산여성인력개발센터,46,1156860,20,44.2,40.0,경기,안산시,07_사회복지종교,직업상담
46,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,37.0,서울,구로구,07_사회복지종교,직업상담
47,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,30.0,서울,구로구,07_사회복지종교,사회복지
48,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,46.0,서울,영등포구,07_사회복지종교,직업상담
49,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,서울,구로구,07_사회복지종교,사회복지
50,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,46.0,서울,구로구,07_사회복지종교,직업상담
51,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,36.0,서울,구로구,07_사회복지종교,직업상담
52,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,서울,구로구,07_사회복지종교,직업상담
53,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,,서울,구로구,07_사회복지종교,사회복지
54,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,24.0,서울,구로구,07_사회복지종교,사회복지
55,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구,07_사회복지종교,직업상담
56,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,44.0,서울,구로구,07_사회복지종교,직업상담
57,직업상담사2급취득(필기+실기),원스톱직업학원,45,1156860,28,35.5,44.0,서울,노원구,07_사회복지종교,직업상담
58,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,58.0,부산,동구,07_사회복지종교,베이비시터
59,"직업상담사2급(1,2차)취득",서울특별시서부여성발전센터,40,1028320,17,36.4,45.0,서울,양천구,07_사회복지종교,직업상담
60,직업상담사2급 자격 취득과정,동양캐드/전산회계/컴퓨터학원,60,1542480,12,47.6,,경남,김해시,07_사회복지종교,직업상담
61,"직업상담사 2급 국가기술자격 취득 과정(1,2차 통합)",씨앤씨직업상담학원,41,1079730,21,40.0,34.0,경기,수원시,07_사회복지종교,직업상담
62,"직업상담사 2급 자격 취득(1,2차 통합)",(재)대구직업전문학교,40,1285400,20,40.0,35.0,대구,북구,07_사회복지종교,직업상담
63,직업상담사2급 필기과정,(주)조근혜 부설 대전직업상담사학원,23,771240,15,48.8,40.0,대전,서구,07_사회복지종교,직업상담
64,전직지원 컨설턴트 과정,인지어스평생교육원,36,1156860,20,52.1,50.0,서울,강남구,07_사회복지종교,전직지원
65,직업상담사자격증(필기+실기),윤성회계캐드컴퓨터학원,46,1285400,20,33.3,25.0,대구,북구,07_사회복지종교,직업상담
66,직업상담사2급 자격 취득과정,송파여성인력개발센터,34,925480,23,40.2,39.0,서울,송파구,07_사회복지종교,직업상담
67,직업상담사2급 자격증,새동아직업전문학교,32,796940,20,48.3,38.0,부산,사하구,07_사회복지종교,직업상담
68,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,25.0,서울,구로구,07_사회복지종교,사회복지
69,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,24.0,서울,구로구,07_사회복지종교,사회복지
70,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,35.0,서울,구로구,07_사회복지종교,사회복지
71,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,50.0,서울,영등포구,07_사회복지종교,직업상담
72,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,35.0,서울,구로구,07_사회복지종교,직업상담
73,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,41.0,서울,구로구,07_사회복지종교,직업상담
74,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,52.0,서울,구로구,07_사회복지종교,사회복지
75,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,서울,구로구,07_사회복지종교,직업상담
76,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구,07_사회복지종교,직업상담
77,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,47.0,서울,구로구,07_사회복지종교,직업상담
78,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,38.0,서울,구로구,07_사회복지종교,직업상담
79,"직업상담사2급 자격증 취득과정(필기,실기)",고양여성인력개발센터,45,1156860,24,24.0,37.0,경기,고양시,07_사회복지종교,직업상담
80,산모신생아건강관리사 양성과정,(주)부모사랑유씨평생교육원,10,373260,30,57.9,54.0,경기,의정부시,07_사회복지종교,건강관리
81,직업상담사2급 자격증취득(1차+2차),이젠컴퓨터아트서비스학원,50,1285400,10,31.3,34.0,전북,전주시,07_사회복지종교,직업상담
82,직업상담사2급 자격증 취득과정,미토직업전문학교,30,771240,20,35.5,34.0,부산,부산진구,07_사회복지종교,직업상담
83,"직업상담사2급 자격 취득과정(1,2차 통합)",(주)이룸리더십연구원 이룸리더십학원,45,1156860,20,33.3,39.0,인천,남동구,07_사회복지종교,직업상담
84,"직업상담사 2급 자격증 취득과정(필기, 실기)",다산직업전문학교,50,1285400,20,38.6,40.0,인천,미추홀구,07_사회복지종교,직업상담
85,직업상담사 2급 자격증 취득과정(실기),다산직업전문학교,27,514160,20,38.6,43.0,인천,미추홀구,07_사회복지종교,직업상담
86,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,35.0,서울,구로구,07_사회복지종교,직업상담
87,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,30.0,서울,구로구,07_사회복지종교,직업상담
88,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,44.0,서울,영등포구,07_사회복지종교,직업상담
89,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,26.0,서울,구로구,07_사회복지종교,사회복지
90,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,서울,구로구,07_사회복지종교,직업상담
91,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,48.0,서울,구로구,07_사회복지종교,사회복지
92,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,,서울,구로구,07_사회복지종교,사회복지
93,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,서울,영등포구,07_사회복지종교,직업상담
94,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,46.0,서울,구로구,07_사회복지종교,직업상담
95,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,40.0,서울,구로구,07_사회복지종교,직업상담
96,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,35.0,서울,구로구,07_사회복지종교,사회복지
97,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,55.0,부산,동구,07_사회복지종교,베이비시터
98,NCS직업상담실무과정(직업상담사2급1차 필기),안양여성인력개발센터,16,608950,17,40.2,41.0,경기,안양시,07_사회복지종교,직업상담
99,[과정평가형자격]직업상담사2급,동양캐드/전산회계/컴퓨터학원,91,4048800,20,47.6,42.0,경남,김해시,07_사회복지종교,직업상담
100,직업상담사2급취득(필기+실기),원스톱직업학원,45,1156860,28,35.5,35.0,서울,노원구,07_사회복지종교,직업상담
101,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,42.0,서울,구로구,07_사회복지종교,직업상담
102,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,서울,구로구,07_사회복지종교,직업상담
103,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,36.0,서울,구로구,07_사회복지종교,사회복지
104,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,47.0,서울,구로구,07_사회복지종교,직업상담
105,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,28.0,서울,구로구,07_사회복지종교,직업상담
