,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
43,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,35.0,서울,강남구,05_법률경찰소방교도국방,법률사무
44,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,31.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
45,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29.0,서울,서초구,05_법률경찰소방교도국방,법률사무
46,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,39.0,서울,강남구,05_법률경찰소방교도국방,법률사무
47,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,30.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
48,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30.0,서울,서초구,05_법률경찰소방교도국방,법률취업
49,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,30.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
50,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,25.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
51,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29.0,서울,서초구,05_법률경찰소방교도국방,법률사무
52,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
53,[과정평가형]소방설비산업기사(전기분야),세영직업전문학교,92,4284700,20,40.0,39.0,서울,영등포구,05_법률경찰소방교도국방,소방설비
54,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,30.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
55,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29.0,서울,서초구,05_법률경찰소방교도국방,법률취업
56,[과정평가형]소방설비산업기사(기계분야),세영직업전문학교,86,4324750,20,40.0,36.0,서울,영등포구,05_법률경찰소방교도국방,소방설비
57,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,29.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
58,AutoCAD2D+Inventor3D(캐드특허도면작성+ATC캐드마스터1급),하이컴퓨터그래픽전산회계학원,61,1996500,22,71.4,32.0,경기,안산시,05_법률경찰소방교도국방,
59,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,28.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
60,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,30.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
61,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,28.0,서울,서초구,05_법률경찰소방교도국방,법률사무
62,소방설비기사/산업기사 필기반(전기분야-이론),대영소방전문학원,18,558810,60,58.3,39.0,부산,북구,05_법률경찰소방교도국방,소방설비
63,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29.0,서울,서초구,05_법률경찰소방교도국방,법률취업
64,(과정평가형)소방설비산업기사(기계)_2020,모아소방전기학원,75,4004400,20,64.3,35.0,서울,영등포구,05_법률경찰소방교도국방,소방설비
65,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
66,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,28.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
67,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,31.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
68,소방설비기사/산업기사 필기 자격취득반(전기분야-문제풀이),대영소방전문학원,15,465670,60,58.3,45.0,부산,북구,05_법률경찰소방교도국방,소방설비
69,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,31.0,서울,서초구,05_법률경찰소방교도국방,법률사무
70,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,28.0,서울,서초구,05_법률경찰소방교도국방,법률취업
71,AutoCAD2D+Inventor3D(캐드특허도면작성+ATC캐드마스터1급),하이컴퓨터그래픽전산회계학원,61,1996500,22,71.4,28.0,경기,안산시,05_법률경찰소방교도국방,
72,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
73,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,27.0,서울,영등포구,05_법률경찰소방교도국방,법률사무
74,소방설비(산업)기사전기필기실기,중앙소방안전학원,33,614690,60,57.1,48.0,광주,서구,05_법률경찰소방교도국방,소방설비
75,소방설비(산업)기사기계필기실기,중앙소방안전학원,33,614690,60,57.1,46.0,광주,서구,05_법률경찰소방교도국방,소방설비
76,"강제집행및회생파산,형사소송절차실무 법률사무원양성과정",국민법률세무교육원,21,936320,30,61.8,35.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
77,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30.0,서울,서초구,05_법률경찰소방교도국방,법률사무
78,법률사무원 양성,삼일직업전문학교,24,936320,20,31.3,39.0,경남,창원시,05_법률경찰소방교도국방,법률사무
