index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
48,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,144,430650,500,26.0,60.0,04_교육 자연 사회과학,한국어교원
49,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,105,314820,500,26.0,37.0,04_교육 자연 사회과학,한국어교원
50,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,105,314820,500,26.0,37.0,04_교육 자연 사회과학,한국어교원
51,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,144,430650,500,26.0,27.0,04_교육 자연 사회과학,한국어교원
52,한국어교원 한국어교원 ),은평여성인력개발센터,30,740040,20,21.7,48.0,04_교육 자연 사회과학,한국어교원
53,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,105,314820,500,26.0,42.0,04_교육 자연 사회과학,한국어교원
54,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,144,430650,500,26.0,46.0,04_교육 자연 사회과학,한국어교원
55,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,144,430650,500,26.0,,04_교육 자연 사회과학,한국어교원
56,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,105,314820,500,26.0,,04_교육 자연 사회과학,한국어교원
57,한국어교원 한국어교원 ),은평여성인력개발센터,30,740040,20,21.7,,04_교육 자연 사회과학,한국어교원
58,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,105,314820,500,26.0,,04_교육 자연 사회과학,한국어교원
59,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,144,430650,500,26.0,,04_교육 자연 사회과학,한국어교원
60,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,144,430650,500,26.0,,04_교육 자연 사회과학,한국어교원
61,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,105,314820,500,26.0,,04_교육 자연 사회과학,한국어교원
62,[토픽] 한국어교원  자격취득 이론강의),한국이러닝협회,105,314820,500,26.0,,04_교육 자연 사회과학,한국어교원
63,[토픽] 한국어교원  자격취득 이론+문풀),한국이러닝협회,144,430650,500,26.0,,04_교육 자연 사회과학,한국어교원
