,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS,과정,지역1,지역2
0,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,42,1161380,20,93.8,36.0,03_금융보험,보험사무원,,
1,보험총무사무원,부천여성인력개발센터,40,1106080,20,64.3,34.0,03_금융보험,보험사무원,,
2,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,31.0,03_금융보험,보험사무원,,
3,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,36.0,03_금융보험,보험사무원,,
4,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,35.0,03_금융보험,보험사무원,,
5,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,34.0,03_금융보험,보험사무원,,
6,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,03_금융보험,자산관리사,,
7,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,45.0,03_금융보험,자산관리사,,
8,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,36.0,03_금융보험,자산관리사,,
9,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,35.0,03_금융보험,자산관리사,,
10,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,33.0,03_금융보험,보험사무원,,
11,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,39.0,03_금융보험,보험사무원,,
12,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,03_금융보험,자산관리사,,
13,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,03_금융보험,자산관리사,,
14,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,29.0,03_금융보험,자산관리사,,
15,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,37.0,03_금융보험,보험사무원,,
16,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,33.0,03_금융보험,자산관리사,,
17,보험사무원(GA총무)양성과정,인컴트랜드평생교육원,28,1161380,20,93.8,,03_금융보험,보험사무원,,
18,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,42.0,03_금융보험,자산관리사,,
19,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,03_금융보험,자산관리사,,
20,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,03_금융보험,자산관리사,,
21,합격이 빠른 은행FP(자산관리사) 비즈니스반,한국이러닝협회,83,249480,500,56.1,,03_금융보험,자산관리사,,
22,보험총무사무원양성,은평여성인력개발센터,40,1106080,18,54.3,,03_금융보험,보험사무원,,
23,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,391500,500,26.0,53.0,04_교육자연사회과학,한국어교원,,
24,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,286200,500,26.0,,04_교육자연사회과학,한국어교원,,
25,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,383800,500,26.0,51.0,04_교육자연사회과학,한국어교원,,
26,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,46.0,04_교육자연사회과학,한국어교원,,
27,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,,04_교육자연사회과학,한국어교원,,
28,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26.0,,04_교육자연사회과학,한국어교원,,
29,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,52.0,04_교육자연사회과학,한국어교원,,
30,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26.0,,04_교육자연사회과학,한국어교원,,
31,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,41.0,04_교육자연사회과학,한국어교원,,
32,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26.0,31.0,04_교육자연사회과학,한국어교원,,
33,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,38.0,04_교육자연사회과학,한국어교원,,
34,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,44.0,04_교육자연사회과학,한국어교원,,
35,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,45.0,04_교육자연사회과학,한국어교원,,
36,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,34.0,04_교육자연사회과학,한국어교원,,
37,한국어교원양성과정(3급) -이론편-,한국이러닝협회,56,422180,500,26.0,41.0,04_교육자연사회과학,한국어교원,,
38,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,61.0,04_교육자연사회과학,한국어교원,,
39,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,41.0,04_교육자연사회과학,한국어교원,,
40,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,55.0,04_교육자연사회과학,한국어교원,,
41,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,35.0,04_교육자연사회과학,한국어교원,,
42,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,49.0,04_교육자연사회과학,한국어교원,,
43,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,35.0,04_교육자연사회과학,한국어교원,,
44,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,46.0,04_교육자연사회과학,한국어교원,,
45,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,50.0,04_교육자연사회과학,한국어교원,,
46,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,40.0,04_교육자연사회과학,한국어교원,,
47,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,46.0,04_교육자연사회과학,한국어교원,,
48,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,39.0,04_교육자연사회과학,한국어교원,,
49,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,38.0,04_교육자연사회과학,한국어교원,,
50,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,46.0,04_교육자연사회과학,한국어교원,,
51,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,37.0,04_교육자연사회과학,한국어교원,,
52,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,49.0,04_교육자연사회과학,한국어교원,,
53,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,42.0,04_교육자연사회과학,한국어교원,,
54,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,48.0,04_교육자연사회과학,한국어교원,,
55,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,40.0,04_교육자연사회과학,한국어교원,,
56,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,35.0,04_교육자연사회과학,한국어교원,,
57,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,39.0,04_교육자연사회과학,한국어교원,,
58,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,49.0,04_교육자연사회과학,한국어교원,,
59,한국어교원양성,은평여성인력개발센터,30,740080,23,21.7,42.0,04_교육자연사회과학,한국어교원,,
60,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,56,430650,500,26.0,46.0,04_교육자연사회과학,한국어교원,,
61,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,56,314820,500,26.0,40.0,04_교육자연사회과학,한국어교원,,
62,한국어교원 자격증 대비반 (문제풀이),은평여성인력개발센터,15,370020,20,21.7,50.0,04_교육자연사회과학,한국어교원,,
63,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,38.0,04_교육자연사회과학,한국어교원,,
64,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,46.0,04_교육자연사회과학,한국어교원,,
65,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,38.0,04_교육자연사회과학,한국어교원,,
66,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,34.0,04_교육자연사회과학,한국어교원,,
67,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,59.0,04_교육자연사회과학,한국어교원,,
68,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,36.0,04_교육자연사회과학,한국어교원,,
69,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,35.0,04_교육자연사회과학,한국어교원,,
70,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,48.0,04_교육자연사회과학,한국어교원,,
71,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,60.0,04_교육자연사회과학,한국어교원,,
72,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,37.0,04_교육자연사회과학,한국어교원,,
73,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,37.0,04_교육자연사회과학,한국어교원,,
74,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,27.0,04_교육자연사회과학,한국어교원,,
75,한국어교원 양성(한국어교원 3급),은평여성인력개발센터,30,740040,20,21.7,48.0,04_교육자연사회과학,한국어교원,,
76,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,42.0,04_교육자연사회과학,한국어교원,,
77,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,46.0,04_교육자연사회과학,한국어교원,,
78,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,,04_교육자연사회과학,한국어교원,,
79,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,,04_교육자연사회과학,한국어교원,,
80,한국어교원 양성(한국어교원 3급),은평여성인력개발센터,30,740040,20,21.7,,04_교육자연사회과학,한국어교원,,
81,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,,04_교육자연사회과학,한국어교원,,
82,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,,04_교육자연사회과학,한국어교원,,
83,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,,04_교육자연사회과학,한국어교원,,
84,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,,04_교육자연사회과학,한국어교원,,
85,[토픽] 한국어교원 3급 자격취득 양성과정(이론강의),한국이러닝협회,105,314820,500,26.0,,04_교육자연사회과학,한국어교원,,
86,[토픽] 한국어교원 3급 자격취득 양성과정(이론+문풀),한국이러닝협회,144,430650,500,26.0,,04_교육자연사회과학,한국어교원,,
87,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29.0,05_법률경찰소방교도국방,법률취업,,
88,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,31.0,05_법률경찰소방교도국방,법률사무,,
89,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,302400,500,26.7,46.0,05_법률경찰소방교도국방,법률사무,,
90,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,31.0,05_법률경찰소방교도국방,법률사무,,
91,소방설비(산업)기사기계필기,중앙소방안전학원,24,447040,60,57.1,49.0,05_법률경찰소방교도국방,소방설비,,
92,소방설비(산업)기사전기필기,중앙소방안전학원,26,484300,60,57.1,43.0,05_법률경찰소방교도국방,소방설비,,
93,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,29.0,05_법률경찰소방교도국방,법률사무,,
94,행정법률사무원 실무양성과정,국민법률세무교육원,21,936320,30,61.8,29.0,05_법률경찰소방교도국방,법률사무,,
95,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,31.0,05_법률경찰소방교도국방,법률사무,,
96,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30.0,05_법률경찰소방교도국방,법률취업,,
97,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33.0,05_법률경찰소방교도국방,법률사무,,
98,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,30.0,05_법률경찰소방교도국방,법률사무,,
99,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,31.0,05_법률경찰소방교도국방,법률사무,,
100,법률사무원 양성,삼일직업전문학교,24,936320,20,31.3,39.0,05_법률경찰소방교도국방,법률사무,,
101,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,46.0,05_법률경찰소방교도국방,법률사무,,
102,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,05_법률경찰소방교도국방,법률사무,,
103,소방설비기사/산업기사 필기 자격취득반[전기분야-이론],대영소방전문학원,15,465670,31,58.3,44.0,05_법률경찰소방교도국방,소방설비,,
104,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,28.0,05_법률경찰소방교도국방,법률사무,,
105,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,29.0,05_법률경찰소방교도국방,법률사무,,
106,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33.0,05_법률경찰소방교도국방,법률사무,,
107,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,31.0,05_법률경찰소방교도국방,법률사무,,
108,소방설비(산업)기사전기실기,중앙소방안전학원,15,279400,60,57.1,45.0,05_법률경찰소방교도국방,소방설비,,
109,소방설비(산업)기사기계실기,중앙소방안전학원,15,279400,60,57.1,50.0,05_법률경찰소방교도국방,소방설비,,
110,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,30.0,05_법률경찰소방교도국방,법률사무,,
111,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,29.0,05_법률경찰소방교도국방,법률사무,,
112,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,26.0,05_법률경찰소방교도국방,법률사무,,
113,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,30.0,05_법률경찰소방교도국방,법률사무,,
114,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,28.0,05_법률경찰소방교도국방,법률사무,,
115,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30.0,05_법률경찰소방교도국방,법률취업,,
116,[과정평가형] 소방설비산업기사(전기분야) 자격취득과정,대영소방전문학원,86,4004400,25,58.3,32.0,05_법률경찰소방교도국방,소방설비,,
117,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,30.0,05_법률경찰소방교도국방,법률사무,,
118,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,29.0,05_법률경찰소방교도국방,법률사무,,
119,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,30.0,05_법률경찰소방교도국방,법률사무,,
120,(과정평가형)소방설비산업기사(전기)_2020,모아소방전기학원,86,4004400,20,64.3,34.0,05_법률경찰소방교도국방,소방설비,,
121,소방설비기사/산업기사 자격취득반[실기+전기전공],대영소방전문학원,15,558810,60,58.3,43.0,05_법률경찰소방교도국방,소방설비,,
122,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30.0,05_법률경찰소방교도국방,법률사무,,
123,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,33.0,05_법률경찰소방교도국방,법률사무,,
124,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,27.0,05_법률경찰소방교도국방,법률사무,,
125,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,27.0,05_법률경찰소방교도국방,법률취업,,
126,소방설비(산업)기사전기필기실기,중앙소방안전학원,33,614690,60,57.1,39.0,05_법률경찰소방교도국방,소방설비,,
127,소방설비(산업)기사기계필기실기,중앙소방안전학원,33,614690,60,57.1,43.0,05_법률경찰소방교도국방,소방설비,,
128,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,32.0,05_법률경찰소방교도국방,법률사무,,
129,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,31.0,05_법률경찰소방교도국방,법률사무,,
130,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,35.0,05_법률경찰소방교도국방,법률사무,,
131,기초부터 실무까지! 법률사무원 취업,사단법인 한국에듀테크산업협회,56,332640,500,26.7,39.0,05_법률경찰소방교도국방,법률사무,,
132,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29.0,05_법률경찰소방교도국방,법률사무,,
133,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30.0,05_법률경찰소방교도국방,법률취업,,
134,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,30.0,05_법률경찰소방교도국방,법률사무,,
135,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,30.0,05_법률경찰소방교도국방,법률사무,,
136,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,25.0,05_법률경찰소방교도국방,법률사무,,
137,[과정평가형]소방설비산업기사(전기분야),세영직업전문학교,92,4284700,20,40.0,39.0,05_법률경찰소방교도국방,소방설비,,
138,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,29.0,05_법률경찰소방교도국방,법률사무,,
139,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,05_법률경찰소방교도국방,법률사무,,
140,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,30.0,05_법률경찰소방교도국방,법률사무,,
141,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29.0,05_법률경찰소방교도국방,법률취업,,
142,[과정평가형]소방설비산업기사(기계분야),세영직업전문학교,86,4324750,20,40.0,36.0,05_법률경찰소방교도국방,소방설비,,
143,강제집행및형사소송실무 법률사무원양성과정,국민법률세무교육원,21,936320,30,61.8,29.0,05_법률경찰소방교도국방,법률사무,,
144,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,28.0,05_법률경찰소방교도국방,법률사무,,
145,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,30.0,05_법률경찰소방교도국방,법률사무,,
146,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,28.0,05_법률경찰소방교도국방,법률사무,,
147,소방설비기사/산업기사 필기반(전기분야-이론),대영소방전문학원,18,558810,60,58.3,39.0,05_법률경찰소방교도국방,소방설비,,
148,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,29.0,05_법률경찰소방교도국방,법률취업,,
149,(과정평가형)소방설비산업기사(기계)_2020,모아소방전기학원,75,4004400,20,64.3,35.0,05_법률경찰소방교도국방,소방설비,,
150,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,05_법률경찰소방교도국방,법률사무,,
151,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,28.0,05_법률경찰소방교도국방,법률사무,,
152,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,31.0,05_법률경찰소방교도국방,법률사무,,
153,소방설비기사/산업기사 필기 자격취득반(전기분야-문제풀이),대영소방전문학원,15,465670,60,58.3,45.0,05_법률경찰소방교도국방,소방설비,,
154,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,31.0,05_법률경찰소방교도국방,법률사무,,
155,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,28.0,05_법률경찰소방교도국방,법률취업,,
156,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,05_법률경찰소방교도국방,법률사무,,
157,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,27.0,05_법률경찰소방교도국방,법률사무,,
158,소방설비(산업)기사전기필기실기,중앙소방안전학원,33,614690,60,57.1,48.0,05_법률경찰소방교도국방,소방설비,,
159,소방설비(산업)기사기계필기실기,중앙소방안전학원,33,614690,60,57.1,46.0,05_법률경찰소방교도국방,소방설비,,
160,"강제집행및회생파산,형사소송절차실무 법률사무원양성과정",국민법률세무교육원,21,936320,30,61.8,35.0,05_법률경찰소방교도국방,법률사무,,
161,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30.0,05_법률경찰소방교도국방,법률사무,,
162,법률사무원 양성,삼일직업전문학교,24,936320,20,31.3,39.0,05_법률경찰소방교도국방,법률사무,,
163,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,27.0,05_법률경찰소방교도국방,법률사무,,
164,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,29.0,05_법률경찰소방교도국방,법률사무,,
165,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,30.0,05_법률경찰소방교도국방,법률취업,,
166,소방설비기사/산업기사 자격취득반(전기실기+전기전공),대영소방전문학원,18,558810,60,58.3,43.0,05_법률경찰소방교도국방,소방설비,,
167,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,49.0,05_법률경찰소방교도국방,소방시설,,
168,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,30,1100000,23,64.3,49.0,05_법률경찰소방교도국방,소방시설,,
169,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,19,1100000,23,64.3,49.0,05_법률경찰소방교도국방,소방시설,,
170,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,30.0,05_법률경찰소방교도국방,법률사무,,
171,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,32.0,05_법률경찰소방교도국방,법률사무,,
172,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,29.0,05_법률경찰소방교도국방,법률사무,,
173,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,28.0,05_법률경찰소방교도국방,법률사무,,
174,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,32.0,05_법률경찰소방교도국방,법률취업,,
175,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,,05_법률경찰소방교도국방,소방시설,,
176,소방설비기사/산업기사 자격취득반(기계분야),대영소방전문학원,25,745080,31,58.3,42.0,05_법률경찰소방교도국방,소방설비,,
177,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,,05_법률경찰소방교도국방,법률사무,,
178,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,,05_법률경찰소방교도국방,법률사무,,
179,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,38.0,05_법률경찰소방교도국방,법률사무,,
180,소방설비(산업)기사전기필기,중앙소방안전학원,25,465670,60,57.1,,05_법률경찰소방교도국방,소방설비,,
181,"강제집행및회생파산,형사소송절차실무 법률사무원양성과정",국민법률세무교육원,21,936320,30,61.8,29.0,05_법률경찰소방교도국방,법률사무,,
182,소방설비(산업)기사기계필기,중앙소방안전학원,24,447040,60,57.1,,05_법률경찰소방교도국방,소방설비,,
183,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,46.0,05_법률경찰소방교도국방,법률취업,,
184,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,,05_법률경찰소방교도국방,법률사무,,
185,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,,05_법률경찰소방교도국방,법률사무,,
186,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,,05_법률경찰소방교도국방,법률사무,,
187,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,26.0,05_법률경찰소방교도국방,법률사무,,
188,요양보호사 자격 취득과정,한성요양보호사교육원,30,480000,35,60.0,56.0,06_보건의료,요양보호사,,
189,"요양보호사 국가 자격증 취득과정 (요양지원, 간병인)",남동요양보호사교육원,30,540000,40,51.5,53.0,06_보건의료,요양보호사,,
190,요양보호사 국가 자격증 취득과정,성심요양보호사교육원,36,600000,35,71.6,54.0,06_보건의료,요양보호사,,
191,요양보호사 자격 취득과정(비NCS),세종고운간호전문학원(부설 세종고운요양보호사 교육원),33,640080,30,64.7,55.0,06_보건의료,요양보호사,,
192,요양보호사 자격 취득과정,홍성간호학원부설요양보호사교육원,30,641520,30,40.0,52.0,06_보건의료,요양보호사,,
193,요양보호사 양성과정(사회복지사자격취득자),부천중부요양보호사교육원,12,200000,40,52.4,48.0,06_보건의료,요양보호사,,
194,요양보호사 양성과정(자격취득),영남간호학원부설 요양보호사교육원,35,630000,40,46.4,57.0,06_보건의료,요양보호사,,
195,요양보호사 자격 취득 과정,에녹요양보호사교육원,30,540000,40,50.0,58.0,06_보건의료,요양보호사,,
196,요양보호사 자격취득과정,성모요양보호사교육원,30,500160,36,73.1,54.0,06_보건의료,요양보호사,,
197,요양보호사자격증 취득과정,한국실버요양보호사교육원,30,468000,30,50.5,60.0,06_보건의료,요양보호사,,
198,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62.0,56.0,06_보건의료,요양보호사,,
199,요양보호사 양성과정(자격증 취득과정),부천중부요양보호사교육원,30,510000,40,52.4,56.0,06_보건의료,요양보호사,,
200,요양보호사자격증취득,굿모닝요양보호사교육원,30,641520,36,59.0,55.0,06_보건의료,요양보호사,,
201,요양보호사자격증취득과정,성모간호학원부설요양보호사교육원,33,600000,34,64.1,53.0,06_보건의료,요양보호사,,
202,요양보호사자격증 취득,새고려요양보호사교육원,30,600000,30,50.0,55.0,06_보건의료,요양보호사,,
203,요양보호사 자격 취득과정(주간),화명요양보호사교육원,33,600000,39,60.2,56.0,06_보건의료,요양보호사,,
204,요양보호사 자격증 취득과정,현대요양보호사교육원,35,600000,30,54.3,54.0,06_보건의료,요양보호사,,
205,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62.0,,06_보건의료,요양보호사,,
