,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS,과정,지역1,지역2
2966,요양보호사자격취득과정,엠마오요양보호사교육원,30,510000,40,53.5,41.0,06_보건의료,요양보호사,,
2967,건강보험청구심사통합과정,메디아이잠실보험학원,20,740000,19,60.9,,06_보건의료,건강보험청구심사,,
2968,간호조무사 자격 취득과정,한나간호학원,191,2918400,30,68.6,,06_보건의료,간호조무사,,
2969,요양보호사 자격 취득과정,나이팅게일간호학원부설요양보호사교육원,30,500160,39,48.0,58.0,06_보건의료,요양보호사,,
2970,NCS 요양보호사 자격증 취득 과정,산재요양보호사교육원,30,570000,38,52.8,56.0,06_보건의료,요양보호사,,
2971,간호조무사 자격증 취득과정,강남메트로간호종합학원,197,3344000,33,72.5,44.0,06_보건의료,간호조무사,,
2972,간호조무사 자격증 취득과정,최강간호학원,201,2888000,33,76.4,,06_보건의료,간호조무사,,
2973,간호조무사 자격취득과정,엔플러스간호학원,200,3306000,31,65.2,45.0,06_보건의료,간호조무사,,
2974,A+요양보호사자격증취득과정,평생비젼교육센터,33,600000,26,57.1,58.0,06_보건의료,요양보호사,,
2975,요양보호사 자격증 취득과정,새롬요양보호사교육원,30,680000,30,45.6,61.0,06_보건의료,요양보호사,,
2976,요양보호사자격증취득과정,마두요양보호사교육원,30,640800,40,54.8,62.0,06_보건의료,요양보호사,,
2977,요양보호사 자격 취득과정,민들레요양보호사교육원,30,600000,37,63.2,54.0,06_보건의료,요양보호사,,
2978,요양보호사 취득(신규자과정),(사)한국여학사협회 강북여성인력개발센터 부설 요양보호사교육원,30,450000,20,40.0,,06_보건의료,요양보호사,,
2979,병원코디네이터 종합과정,정연화의료서비스아카데미전문학원,30,997740,30,63.6,30.0,06_보건의료,병원코디네이터,,
2980,요양보호사 자격 취득 과정(사회복지사 자격증 보유자),다원요양보호사교육원,13,250000,37,60.2,43.0,06_보건의료,요양보호사,,
2981,요양보호사 자격취득과정,새늘요양보호사교육원,33,600000,40,52.8,53.0,06_보건의료,요양보호사,,
2982,요양보호사자격취득과정,세계로요양보호사교육원,30,679920,37,37.9,52.0,06_보건의료,요양보호사,,
2983,요양보호사 자격 취득과정,미래간호학원부설요양보호사교육원,33,640080,40,53.2,54.0,06_보건의료,요양보호사,,
2984,간호조무사 자격 취득과정,주식회사에이치큐브학원,200,3344000,30,75.0,39.0,06_보건의료,간호조무사,,
2985,요양보호사 자격 취득 과정,해맞이요양보호사교육원,30,720000,40,58.1,,06_보건의료,요양보호사,,
2986,요양보호사 양성과정,연수요양보호사교육원,50,600000,40,50.0,62.0,06_보건의료,요양보호사,,
2987,요양보호사자격증취득과정,삼성요양보호사교육원,33,640800,30,57.3,,06_보건의료,요양보호사,,
2988,요양보호사자격증취득과정,진월요양보호사교육원,30,684000,30,45.7,,06_보건의료,요양보호사,,
2989,요양보호사자격취득(사회복지사반),홍주요양보호사교육원,10,250000,30,57.3,,06_보건의료,요양보호사,,
2990,요양보호사 자격증 취득과정,송천탑클래스간호학원부설요양보호사교육원,33,600000,30,57.1,54.0,06_보건의료,요양보호사,,
2991,"요양보호사자격취득과정_간호조무사,물리치료사,작업치료사자격반",서일간호학원부설요양보호사교육원,10,250000,34,56.6,51.0,06_보건의료,요양보호사,,
2992,요양보호사자격취득과정_사회복지사자격반,서일간호학원부설요양보호사교육원,10,250000,30,56.6,,06_보건의료,요양보호사,,
2993,요양보호사 자격취득과정,호남간호요양보호사교육원,30,688080,40,41.3,,06_보건의료,요양보호사,,
2994,NCS 요양보호사 자격증 취득과정,천사요양보호사교육원,30,648000,35,61.4,42.0,06_보건의료,요양보호사,,
2995,요양보호사 양성과정,사당실버요양보호사교육원,30,504000,35,50.0,,06_보건의료,요양보호사,,
2996,요양보호사 자격 취득과정,김포요양보호사교육원,30,630000,40,52.4,52.0,06_보건의료,요양보호사,,
2997,요양보호사국가자격과정,포항한국간호전문학원 부설 한국요양보호사교육원,30,550080,35,51.6,55.0,06_보건의료,요양보호사,,
2998,요양보호사 자격 취득과정,자은간호학원 부설 요양보호사 교육원,36,480000,30,63.6,,06_보건의료,요양보호사,,
2999,요양보호사자격증취득과정(이론+실기),대구제일요양보호사교육원,30,720000,36,41.0,,06_보건의료,요양보호사,,
3000,요양보호사 자격 취득과정,열린요양보호사교육원,30,540000,40,56.0,56.0,06_보건의료,요양보호사,,
3001,요양보호사 자격취득과정 NCS-20,경인요양보호사교육원,30,640080,40,56.2,59.0,06_보건의료,요양보호사,,
3002,요양보호사자격증취득과정,집으로요양보호사교육원,30,600000,34,57.3,55.0,06_보건의료,요양보호사,,
3003,요양보호사 자격증 취득과정(신규자 주간반),효성요양보호사교육원,30,540000,40,53.2,57.0,06_보건의료,요양보호사,,
3004,요양보호사 자격 취득과정,예산간호학원부설 요양보호사교육원,33,650000,30,87.5,,06_보건의료,요양보호사,,
3005,요양보호사 자격 취득과정(비NCS),한세기요양보호사교육원,50,510000,30,55.3,59.0,06_보건의료,요양보호사,,
3006,요양보호사 자격 취득 과정,명성요양보호사교육원,30,500160,40,62.5,,06_보건의료,요양보호사,,
3007,요양보호사 자격증 취득과정,진해보금요양보호사교육원,32,600000,40,45.7,,06_보건의료,요양보호사,,
3008,요양보호사표준교육과정,대한요양보호사교육원,33,549840,35,50.0,,06_보건의료,요양보호사,,
3009,요양보호사자격증취득과정,가족사랑광산요양보호사교육원,30,640800,40,45.7,56.0,06_보건의료,요양보호사,,
