,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS분야,과정
0,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,24.0,서울,서초구,09_운전운송,항공사지상직
1,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,24.0,서울,서초구,09_운전운송,항공사지상직
2,초경량비행장치(드론) 조종자 자격증 취득과정,더조은아카데미,19,2001080,8,41.2,46.0,광주,서구,09_운전운송,드론
3,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,25.0,서울,서초구,09_운전운송,항공사지상직
4,초경량비행장치(드론) 조종자 자격증 취득과정,더조은아카데미,20,2001080,8,41.2,,광주,서구,09_운전운송,드론
5,일반고특화_영상촬영드론조종및항공드론정비융합과정,청연항공과학직업전문학교,176,8084520,30,56.9,,경기,용인시,09_운전운송,드론
6,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,23.0,서울,서초구,09_운전운송,항공사지상직
7,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,26.0,서울,서초구,09_운전운송,항공사지상직
8,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,26.0,서울,서초구,09_운전운송,항공사지상직
9,초경량비행장치(드론) 조종자 자격증 및 교관 양성과정,더조은아카데미,45,3501940,8,41.2,39.0,광주,서구,09_운전운송,드론
10,영상촬영용 드론조종 양성과정,다옴직업전문학교,143,7126000,24,84.6,42.0,대구,서구,09_운전운송,드론
11,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,25.0,서울,서초구,09_운전운송,항공사지상직
12,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,18,1351260,16,51.8,25.0,서울,서초구,09_운전운송,항공사지상직
13,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,20,1351260,16,51.8,23.0,서울,서초구,09_운전운송,항공사지상직
14,초경량비행장치(드론) 조종자 자격증 취득과정,더조은아카데미,20,2500000,8,41.2,43.0,광주,서구,09_운전운송,드론
15,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,20,1351260,16,51.8,23.0,서울,서초구,09_운전운송,항공사지상직
16,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,20,1351260,16,51.8,25.0,서울,서초구,09_운전운송,항공사지상직
17,항공사지상직 체크인카운터/예약발권과정(DCS/CRS),코세아학원,20,1351260,16,51.8,24.0,서울,서초구,09_운전운송,항공사지상직
18,초경량비행장치(드론) 조종자 자격증 취득과정,더조은아카데미,20,2500000,8,41.2,,광주,서구,09_운전운송,드론
