,과정명,학원명,기간,훈련비,정원,취업률,연령대
0,요양보호사자격증취득과정,성심요양보호사교육원,30,450000,30,,54
1,요양보호사 자격 취득과정,한성요양보호사교육원,30,480000,35,60,56
2,"요양보호사 국가 자격증 취득과정 (요양지원, 간병인)",남동요양보호사교육원,30,540000,40,51.5,53
3,요양보호사 국가 자격증 취득과정,성심요양보호사교육원,36,600000,35,71.6,54
4,요양보호사 자격 취득과정(비NCS),세종고운간호전문학원(부설 세종고운요양보호사 교육원),33,640080,30,64.7,55
5,요양보호사 자격 취득과정,홍성간호학원부설요양보호사교육원,30,641520,30,40,52
6,요양보호사 양성과정(사회복지사자격취득자),부천중부요양보호사교육원,12,200000,40,52.4,48
7,요양보호사 자격취득과정,아리요양보호사교육원,30,450000,30,,58
8,요양보호사 자격 취득과정,바드림요양보호사교육원,30,450000,36,,57
9,요양보호사 양성과정(자격취득),영남간호학원부설 요양보호사교육원,35,630000,40,46.4,57
10,요양보호사 자격 취득 과정,에녹요양보호사교육원,30,540000,40,50,58
11,요양보호사 자격 취득 과정,아리아요양보호사교육원,30,500160,30,,57
12,요양보호사 자격취득과정,성모요양보호사교육원,30,500160,36,73.1,54
13,요양보호사 자격 취득과정,다솜요양보호사교육원,37,600000,35,,56
14,요양보호사자격증 취득과정,한국실버요양보호사교육원,30,468000,30,50.5,60
15,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62,56
16,요양보호사 양성과정(자격증 취득과정),부천중부요양보호사교육원,30,510000,40,52.4,56
17,요양보호사자격증취득,굿모닝요양보호사교육원,30,641520,36,59,55
18,요양보호사자격증취득과정,성모간호학원부설요양보호사교육원,33,600000,34,64.1,53
19,요양보호사자격증 취득,새고려요양보호사교육원,30,600000,30,50,55
20,요양보호사 자격 취득과정(주간),화명요양보호사교육원,33,600000,39,60.2,56
21,요양보호사 자격취득과정,보성요양보호사교육원,30,580080,40,,56
22,요양보호사 자격증 취득과정,현대요양보호사교육원,35,600000,30,54.3,54
23,요양보호사 자격 취득과정,운정요양보호사교육원,30,641280,24,62,
24,요양보호사 자격증 취득과정,우리요양보호사교육원,30,510000,40,,56
25,요양보호사 자격 취득,반구요양보호사교육원,30,540000,40,,53
26,요양보호사자격취득과정,범계요양보호사교육원,30,499920,40,50.5,56
27,간호조무사자격취득과정(주간C),덕천간호학원,191,2903200,30,74.7,29
28,요양보호사(표준교육과정),안양벧엘요양보호사교육원,30,550000,24,60.9,54
29,요양보호사 자격 취득과정,부경요양보호사교육원,30,600000,40,50.9,56
30,요양보호사 자격증 취득과정,큰사랑요양보호사교육원,30,450000,40,90,51
31,요양보호사 자격 취득과정,당감요양보호사교육원,35,600000,39,67.1,53
32,요양보호사자격증취득과정,탑요양보호사교육원,30,528000,35,,56
33,요양보호사 자격 취득과정,로뎀요양보호사교육원,30,520080,20,,52
34,요양보호사양성(실업자),강릉요양보호사교육원,36,549840,40,61.2,54
35,요양보호사 자격 취득과정,희망가득요양보호사교육원,39,600000,40,,51
36,요양보호사국가자격증취득과정,다사랑요양보호사교육원,30,640080,30,61.4,53
37,요양보호사 자격 취득과정,경기원당요양보호사교육원,30,640800,34,,57
38,요양보호사 자격 취득과정,삼척요양보호사교육원,30,552000,35,79.7,52
39,요양보호사 자격증취득과정,참된요양보호사교육원,30,480000,30,,57
40,요양보호사 실업자과정(주간),인천서부요양보호사교육원,32,570000,40,46.2,54
41,요양보호사국가자격증취득(240시간),(시흥)소래요양보호사교육원,31,450000,40,,55
42,요양보호사 국가자격증취득 & 취업 연계과정,온양요양보호사교육원,33,529920,28,57.1,58
43,요양보호사 자격 취득과정,병점길요양보호사교육원,30,500000,34,,56
44,요양보호사 자격취득과정,행복한요양보호사교육원,30,550080,40,,55
45,요양보호사 자격 취득 과정,봉담요양보호사교육원,30,540000,40,,54
46,요양보호사 자격 취득과정,김포요양보호사교육원,30,600000,40,52.4,57
47,NCS 요양보호사 자격증 취득과정,영통경기요양보호사교육원,30,600000,37,38.9,55
48,요양보호사 자격 취득과정,제이성모요양보호사교육원,30,650000,30,65,51
49,요양보호사자격증취득,새희망요양보호사교육원,30,510000,33,55.2,57
50,요양보호사 자격 취득과정,한국요양보호사교육원,30,510000,30,,54
51,요양보호사 자격 취득과정,예산간호학원부설 요양보호사교육원,33,641280,30,87.5,49
52,요양보호사자격증취득과정,부산해운대요양보호사교육원,35,600000,35,62.7,56
53,요양보호사 자격 취득과정,강남케어요양보호사교육원,30,510000,30,,58
54,요양보호사 양성과정,성심요양보호사교육원,30,500000,37,58.2,55
55,요양보호사 국가자격증 취득과정(일반반),희망요양보호사교육원,30,550080,30,48,58
56,요양보호사자격취득과정,서일간호학원부설요양보호사교육원,33,641520,34,56.6,56
57,요양보호사 자격 취득과정,경기제일요양보호사교육원,30,600000,40,58.9,54
58,요양보호사 자격 취득과정,지산요양보호사교육원,30,550080,38,59.5,59
59,요양보호사 자격증 취득과정,대신요양보호사교육원,30,480000,30,52.3,54
60,요양보호사 자격 취득과정,동두천간호학원요양보호사교육원,30,600000,35,65.1,54
61,요양보호사 자격 취득 과정,계양온누리요양보호사교육원,30,600000,40,,55
62,요양보호사 자격 취득과정(주간반),한양요양보호사교육원,30,480000,40,47,55
63,요양보호사 국가자격증 취득과정,하단레몬요양보호사교육원,30,600000,40,49.4,54
64,요양보호사 자격증 취득 과정,경북베델요양보호사교육원,33,640080,35,42.3,57
65,요양보호사 자격증취득 과정,안양여성인력개발센터부설 요양보호사교육원,30,450000,22,49.6,54
66,요양보호사 자격 취득과정,달서구요양보호사교육원,33,550080,40,40.8,55
67,요양보호사 자격 취득과정,정상요양보호사교육원,30,540000,38,56,57
68,요양보호사자격취득과정,사랑평생교육원 부설 요양보호사교육원,30,600000,40,68.9,52
69,요양보호사 자격 취득과정,동래삼성실버요양보호사교육원,37,640080,37,59.8,55
70,요양보호사 자격 취득 과정,e-한나요양보호사교육원,35,540000,40,62.5,57
71,요양보호사 취득과정,호남제일간호학원부설요양보호사교육원,33,600000,30,72,54
72,요양보호사 (자격취득) 양성 과정,경북요양보호사교육원,30,600000,40,65,52
73,요양보호사 자격 취득과정,포천요양보호사교육원,33,510000,34,50,53
74,요양보호사자격취득과정,금빛요양보호사교육원,30,500160,40,46.9,57
75,요양보호사 자격증 취득과정,충주요양보호사교육원,32,600000,38,63.7,56
76,요양보호사국가자격증취득과정,참사랑요양보호사교육원,30,500160,40,63,55
77,요양보호사 자격 취득과정,은평엔젤요양보호사교육원,30,510000,40,50.8,56
78,요양보호사 자격취득과정,수원행복 요양보호사 교육원,30,480000,40,58.7,56
79,요양보호사 자격증 취득과정,가족요양보호사교육원,30,450000,35,64.7,57
80,요양보호사 국가자격증 양성과정,햇빛요양보호사교육원,30,499920,36,66.3,55
81,"요양보호사 자격증 취득과정(주중,주말반)",유니스타요양보호사교육원,30,540000,40,55,55
82,요양보호사 자격 취득과정,증평중앙요양보호사교육원,36,500160,35,61.9,58
83,요양보호사 자격 취득,경희요양보호사교육원,31,600000,36,,50
84,요양보호사(표준)주간과정,익산평화요양보호사교육원,30,641280,25,47.5,53
85,요양보호사 자격 취득과정(신규반),(주)한동네요양보호사교육원,30,600000,39,,49
86,요양보호사 자격증 취득과정 (사회복지사),진해간호요양보호사교육원,12,200000,30,35.5,45
87,"요양보호사자격취득과정(신규,2019-2)",미래요양보호사교육원,33,640800,40,54.3,57
88,요양보호사 자격 취득과정,연세요양보호사교육원,30,450000,40,45.4,55
89,NCS요양보호사 국가자격증과정,부모사랑제2캠퍼스요양보호사교육원,30,600000,32,75,56
90,요양보호사 국가자격소지자반 (사회복지사),안성의료복지사회적협동조합 부설 안성요양보호사교육원,11,250000,30,60.9,35
91,요양보호사 자격 취득과정,서수원간호학원부설서수원요양보호사교육원,30,500000,35,54.4,54
92,요양보호사 자격증 취득과정,남서울요양보호사교육원,30,500160,35,69.6,57
93,"NCS 요양보호사 국가자격증 취득과정 (중장년층,여성가장,취약계층)",천사요양보호사교육원,31,600000,35,61.4,58
94,요양보호사 자격취득 과정,영통에이원요양보호사교육원,30,480000,33,66.7,55
95,요양보호사 자격 취득과정,천안경희간호학원부설 요양보호사교육원,30,480000,15,72,57
96,요양보호사 자격증 취득 과정,나눔요양보호사교육원,30,624000,28,43.4,54
97,요양보호사자격증취득,굿모닝요양보호사교육원,50,641520,36,59,53
98,요양보호사 자격취득과정,한국실버요양보호사교육원,30,600000,40,45.8,56
99,NCS 요양보호사 자격 취득과정,인천일신요양보호사교육원,30,570000,40,62.2,53
100,요양보호사자격증취득과정,정암요양보호사교육원,31,600000,38,49.2,58
101,요양보호사 국가자격증 취득과정,미소로섬김 요양보호사교육원,30,540000,37,50,55
102,요양보호사 자격취득과정,전국고용요양보호사교육원,30,540000,40,54.9,59
103,요양보호사 자격 취득과정,해맞이요양보호사교육원,30,660000,40,58.1,53
104,요양보호사양성과정,온누리요양보호사교육원,30,510000,40,,55
105,병원코디네이터양성,한국재난안전정보협회평생교육원,32,886880,20,,
106,요양보호사 자격취득과정,이천요양보호사교육원,30,630000,32,60.5,57
107,요양보호사자격증취득과정,광주사랑요양보호사교육원,30,600000,36,41,52
108,요양보호사 자격증 취득과정(비NCS),마산요양보호사교육원,30,600000,25,53.2,53
109,요양보호사자격증취득과정,어르신사랑요양보호사교육원,30,540000,30,66,58
110,요양보호사 자격증취득과정,고운요양보호사교육원,30,528000,40,49.4,56
111,요양보호사 자격 취득과정,이레요양보호사교육원,30,510000,36,50.2,54
112,요양보호사 자격 취득과정,중앙간호학원 요양보호사교육원,30,641520,30,53.2,52
113,요양보호사 자격 취득과정,세계로요양보호사교육원,30,641520,37,37.9,56
114,요양보호사 자격증 취득과정,안산조은요양보호사교육원,30,510000,35,,59
115,요양보호사 자격증 취득과정,보라매요양보호사교육원,30,600000,29,,55
116,요양보호사 자격취득과정,섬기미요양보호사교육원,30,640080,40,52,55
117,요양보호사 자격취득과정,사하요양보호사교육원,30,640080,40,68.2,54
118,요양보호사자격증과정,포항요양보호사교육원,30,540000,40,45.9,55
119,NCS 요양보호사 자격증취득,뉴시흥요양보호사교육원,30,540000,25,,
120,요양보호사자격증취득과정,가족사랑광산요양보호사교육원,30,640800,40,45.7,56
121,요양보호사 자격 취득 과정,명성요양보호사교육원,30,500160,40,62.5,56
122,요양보호사 자격 취득과정,사임당요양보호사교육원,30,540000,31,,58
123,요양보호사자격증취득과정(사회복지사자격증소지자과정),참된요양보호사교육원,15,200000,20,,49
124,요양보호사 자격증 취득과정,서면삼성실버요양보호사교육원,30,640080,14,54,54
125,요양보호사 자격 취득과정,연세요양보호사교육원,31,680000,34,,53
126,요양보호사자격증취득과정,주은요양보호사교육원,30,641520,32,55.7,58
